# Paper velocity-dispersion regime: sigma > 215 km/s (high_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
139772	M1_139772	legac_M1_139772_v2.0.fits	1	150.266861	2.439418	0.007738	0.696600	253.7	8.3	high_sigma	3.047	0.120	0.138	0.120	0.021	0.025	0.227	0.025	0.028	1	1	0	0	0	0	45.3	36.9	63.3	0.056900	0.007500	0.094300	0.007500	0.936800	0.120600	3.825000	0.284600	3.236300	0.265000	0.650200	0.151100	2.377200	0.258900	5.075600	0.498800	1.841900	0.134400	-1.017000	0.226400	-2.611200	0.226400	0.746500	0.158400	-0.401500	0.199700	NaN	NaN
206573	M1_206573	legac_M1_206573_v2.0.fits	1	150.267166	2.469770	0.013892	0.701800	236.9	6.1	high_sigma	3.304	0.192	0.290	-0.016	0.025	0.017	0.280	0.027	0.028	1	1	0	0	0	0	60.6	52.1	83.5	0.037600	0.005200	0.080200	0.005100	0.769900	0.086900	4.136500	0.184200	3.176600	0.195200	1.352800	0.175100	2.805000	0.185800	4.946600	0.337700	2.474900	0.128000	0.127100	0.148100	-2.311200	0.149300	0.951500	0.107600	-0.010100	0.130500	NaN	NaN
207825	M1_207825	legac_M1_207825_v2.0.fits	1	150.294662	2.488704	0.016827	0.696800	228.9	5.6	high_sigma	1.937	0.071	0.119	0.162	0.052	0.015	0.155	0.017	0.016	1	1	0	0	0	0	70.0	67.8	91.5	0.023700	0.004000	0.058100	0.004100	0.756200	0.068200	3.651200	0.150900	3.474600	0.160100	0.557700	0.091500	2.514400	0.160800	5.101900	0.279400	2.109300	0.093500	0.289200	0.117200	-1.543500	0.124300	1.346100	0.083200	0.469500	0.110100	1.692400	0.006500
210210	M1_210210	legac_M1_210210_v2.0.fits	1	150.148117	2.517844	0.017743	0.654200	259.5	6.5	high_sigma	3.052	0.114	0.155	0.017	0.020	0.014	0.219	0.018	0.018	1	1	0	0	0	0	62.2	60.3	76.2	0.031900	0.005000	0.072700	0.005000	0.935600	0.079500	4.350900	0.122400	3.454600	0.219200	1.083900	0.106500	2.906300	0.165300	4.505000	0.335900	2.028100	0.163000	0.417600	0.119700	-3.306700	0.119100	1.471000	0.085100	-0.021300	0.107100	1.816800	0.007700
107362	M3_107362	legac_M3_107362_v2.0.fits	1	150.125473	2.038339	0.011573	0.676700	239.3	11.9	high_sigma	4.823	0.928	0.750	-0.102	0.051	0.067	0.235	0.064	0.058	1	1	0	0	0	0	23.7	21.3	32.6	0.046300	0.014700	0.063500	0.015100	1.007200	0.220300	4.136800	0.368200	3.714800	0.831900	1.068500	0.267500	1.233700	0.646700	3.206500	1.459900	1.724700	0.259300	-0.408600	0.416400	-2.930600	0.675200	0.775700	0.327600	-0.052700	0.758600	NaN	NaN
109352	M3_109352	legac_M3_109352_v2.0.fits	1	150.108917	2.063952	0.012211	0.724400	248.4	13.4	high_sigma	3.931	0.624	0.535	-0.164	0.048	0.050	0.080	0.061	0.060	1	1	0	0	0	0	23.9	21.0	32.7	0.007700	0.013500	0.038700	0.013500	1.188400	0.312100	2.961600	0.455100	2.517500	0.786300	0.452200	0.308800	2.455600	0.711800	4.474600	0.849100	1.068400	0.652100	-0.031800	0.341800	-2.329100	0.377800	0.677400	0.246100	-0.383600	0.346500	NaN	NaN
119474	M3_119474	legac_M3_119474_v2.0.fits	1	150.092392	2.193618	0.009946	0.680900	265.6	11.2	high_sigma	4.054	0.149	0.327	0.105	0.033	0.025	0.225	0.025	0.028	1	1	0	0	0	0	35.4	28.7	46.1	0.066700	0.011100	0.103000	0.011300	0.915900	0.159800	4.256700	0.356400	4.967800	0.546000	1.234300	0.185200	2.796100	0.470400	4.220700	0.836000	1.174500	0.188300	-0.728800	0.333000	-3.642000	0.364500	0.603600	0.240800	-0.643700	0.310700	NaN	NaN
119700	M3_119700	legac_M3_119700_v2.0.fits	1	150.258377	2.198956	0.017797	0.666900	238.2	12.4	high_sigma	2.116	0.205	0.301	0.225	0.061	0.061	0.057	0.049	0.047	1	1	0	0	0	0	22.2	16.5	30.0	0.033600	0.019100	0.081700	0.018500	1.045100	0.277900	4.470700	0.428000	5.488100	1.304600	0.966500	0.285800	2.276500	0.647400	4.717400	1.565300	1.402000	0.302500	-0.442300	0.527000	-2.946900	0.500800	1.462600	0.371800	0.488400	0.529300	NaN	NaN
120308	M3_120308	legac_M3_120308_v2.0.fits	1	150.095627	2.203699	0.011840	0.727900	222.7	9.0	high_sigma	3.272	0.410	0.479	-0.057	0.042	0.055	0.256	0.047	0.047	1	1	0	0	0	0	29.0	25.7	39.6	0.019800	0.010500	0.065100	0.010500	0.734700	0.297200	4.424200	0.314100	4.094600	0.561900	0.794000	0.281800	1.826400	0.516800	4.779700	0.635900	2.578500	0.400700	0.704200	0.270300	-2.908300	0.306300	1.442300	0.197300	0.135500	0.237200	NaN	NaN
80755	M4_80755	legac_M4_80755_v2.0.fits	1	150.370377	2.119776	0.018895	0.732500	215.2	12.2	high_sigma	2.136	0.204	0.267	0.189	0.040	0.053	0.192	0.042	0.040	1	1	0	0	0	0	19.0	19.2	27.1	0.051500	0.014000	0.093100	0.014000	0.826800	0.347500	3.240000	0.438900	4.387000	0.807800	0.236600	0.515400	1.474500	0.770300	3.920300	1.088200	0.000000	NaN	0.391200	0.356800	-2.011300	0.403300	1.668100	0.253500	0.623600	0.370100	1.567200	0.024000
107643	M4_107643	legac_M4_107643_v2.0.fits	1	150.185501	2.044087	0.011727	0.734300	248.2	13.1	high_sigma	3.393	0.774	0.892	0.103	0.073	0.092	0.119	0.078	0.097	1	1	0	0	0	0	21.0	19.0	28.0	0.051800	0.015900	0.091000	0.016000	0.453000	0.434300	4.870100	0.442900	5.762300	0.783900	1.999100	0.447100	2.338100	0.771100	5.022800	0.807200	1.875400	1.454500	-0.603100	0.363700	-3.430800	0.423000	1.155100	0.253900	-0.145500	0.404200	NaN	NaN
108989	M4_108989	legac_M4_108989_v2.0.fits	1	150.218445	2.057750	0.017356	0.827800	310.3	12.1	high_sigma	4.028	0.563	0.642	0.067	0.071	0.066	0.060	0.045	0.047	1	1	0	0	0	0	21.3	27.0	35.9	0.127500	0.016600	0.164600	0.016800	0.988300	0.221700	4.643300	0.435900	4.403900	0.559500	0.798900	0.192800	3.474800	0.603100	7.828900	0.658600	NaN	NaN	-1.566700	0.309000	-3.668100	0.486200	0.858400	0.192400	-0.930200	0.352400	1.781200	0.015500
