# Paper velocity-dispersion regime: sigma < 215 km/s (low_sigma).
# Spectrum-level subset of the Borghi (2022)-LEGA-C DR2 match.
# The 215 km/s split uses the measured SIGMA_STARS_PRIME point estimate, as in the papers.
# Repeat spectra are retained; consult the object audit before treating rows as unique galaxies.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
133240	M1_133240	legac_M1_133240_v2.0.fits	1	150.161499	2.362485	0.018099	0.728200	130.6	8.7	low_sigma	3.080	0.635	0.643	0.257	0.090	0.121	0.162	0.059	0.065	1	1	0	0	0	0	11.4	12.1	15.9	0.062000	0.022400	0.093800	0.022600	0.551500	0.613900	5.442400	0.653000	6.039500	1.216200	1.151500	0.580100	0.658100	1.116700	7.939000	1.383700	2.036500	0.992700	-0.598100	0.585000	-3.719000	0.679100	0.501100	0.421400	-0.470900	0.537600	1.769800	0.034100
133783	M1_133783	legac_M1_133783_v2.0.fits	1	150.279022	2.368428	0.010763	0.692600	202.8	7.6	low_sigma	1.904	0.081	0.073	0.333	0.030	0.055	0.142	0.028	0.027	1	1	0	0	0	0	29.2	26.9	38.1	0.019000	0.010400	0.086800	0.010400	0.673700	0.192200	4.341400	0.392800	4.556700	0.382300	0.000000	NaN	3.326900	0.431800	7.144100	0.706000	2.448100	0.206200	1.504300	0.297500	-2.157300	0.330500	3.144700	0.204400	0.906700	0.286100	1.766600	0.018700
134169	M1_134169	legac_M1_134169_v2.0.fits	1	150.298889	2.372403	0.010890	0.738600	177.1	7.1	low_sigma	2.793	0.357	0.357	0.161	0.071	0.076	0.242	0.051	0.052	1	1	0	0	0	0	17.9	18.5	24.2	0.047500	0.017100	0.087900	0.017000	0.829700	0.309600	5.335100	0.421200	4.782400	0.829700	0.953800	0.410400	3.590400	0.804000	6.054100	0.849600	2.082600	0.806800	0.561400	0.363300	-3.657900	0.431900	1.676800	0.259000	-0.015200	0.368500	1.699500	0.022600
205742	M1_205742	legac_M1_205742_v2.0.fits	1	150.088760	2.460641	0.003535	0.727300	210.5	7.0	low_sigma	3.070	0.268	0.392	-0.009	0.039	0.058	0.036	0.026	0.034	1	1	0	0	0	0	42.8	37.4	56.9	0.017300	0.007000	0.051700	0.007000	1.058900	0.197600	4.059800	0.215500	3.266700	0.397300	0.814100	0.193200	2.254600	0.412800	5.536800	0.611400	1.421900	0.324000	-0.627000	0.187000	-3.136100	0.206900	0.894800	0.134800	-0.243600	0.168300	NaN	NaN
208622	M1_208622	legac_M1_208622_v2.0.fits	1	150.138931	2.500771	0.005931	0.647900	196.5	11.9	low_sigma	3.677	0.760	0.994	-0.187	0.080	0.075	0.046	0.090	0.088	1	1	0	0	0	0	17.9	16.7	22.6	-0.000200	0.019100	0.034900	0.019100	0.672400	0.318600	4.463100	0.451500	4.866600	0.807800	1.777100	0.482000	2.987100	0.586900	0.430500	1.745100	0.764000	0.645500	0.566300	0.420400	-2.843300	0.430700	1.264000	0.302000	0.441200	0.368900	1.651000	0.027600
94494	M2_94494	legac_M2_94494_v2.0.fits	1	150.384674	2.328623	0.018320	0.740100	203.8	6.0	low_sigma	4.667	0.485	0.568	-0.237	0.037	0.033	0.283	0.041	0.045	1	1	0	0	0	0	30.6	34.4	42.4	0.011900	0.009200	0.044600	0.009200	0.664800	0.179900	4.189600	0.245900	3.491700	0.647900	0.853700	0.252800	2.354000	0.546900	3.645400	0.517000	2.318600	0.551100	0.942100	0.201100	-2.844700	0.248800	1.703000	0.143000	-0.096000	0.238100	1.640400	0.011700
131869	M2_131869	legac_M2_131869_v2.0.fits	1	150.231567	2.346803	0.014192	0.726100	158.6	7.5	low_sigma	2.637	0.431	0.569	-0.129	0.080	0.102	0.037	0.061	0.075	1	1	0	0	0	0	17.0	18.0	23.4	-0.014700	0.015300	0.028800	0.015400	0.731900	0.611400	3.914100	0.522700	3.274800	1.170800	1.222900	0.432500	2.168100	1.036600	5.144200	1.090400	1.548200	0.810500	0.948400	0.405100	-1.793800	0.528800	2.310400	0.279300	0.589300	0.450100	1.621300	0.023000
133501	M2_133501	legac_M2_133501_v2.0.fits	1	150.202911	2.363061	0.006021	0.729200	211.5	7.0	low_sigma	1.627	0.117	0.137	-0.156	0.150	0.107	-0.195	0.038	0.033	1	1	0	0	0	0	57.7	57.8	72.7	-0.091200	0.004700	-0.012600	0.004500	0.633800	0.115100	2.049200	0.153600	3.765500	0.289900	0.997900	0.135100	2.190300	0.348600	2.580300	0.363200	2.826400	0.214600	5.297100	0.117700	1.819800	0.133400	4.833600	0.088200	3.277000	0.112700	1.570700	0.006500
139662	M2_139662	legac_M2_139662_v2.0.fits	1	150.232315	2.440464	0.022906	0.670600	206.0	23.6	low_sigma	2.494	0.316	0.398	0.371	0.064	0.068	0.246	0.042	0.041	1	1	0	0	0	0	17.3	16.7	23.6	0.101800	0.020100	0.102700	0.020700	0.686300	0.281400	4.963800	0.410000	5.646200	0.755300	1.111300	0.320400	2.663700	0.723100	7.654000	1.381600	2.444800	0.359200	0.269500	0.536100	-3.526200	0.549600	2.684500	0.361300	-0.744000	0.504200	1.739700	0.032800
208364	M2_208364	legac_M2_208364_v2.0.fits	1	150.188629	2.497706	0.014945	0.667800	161.3	6.8	low_sigma	2.951	0.367	0.439	-0.061	0.050	0.084	0.195	0.056	0.057	1	1	0	0	0	0	25.1	21.7	31.6	0.024500	0.015500	0.075200	0.015500	0.776000	0.215100	4.224400	0.344800	3.745000	0.744500	1.174600	0.246000	1.636300	0.609400	4.825000	1.139700	1.840800	0.329700	0.521000	0.431700	-2.259600	0.545300	1.766100	0.295300	0.772200	0.600000	NaN	NaN
