# One row per unique Borghi (2022) galaxy.
# ambiguous_repeat_spectra means public DR2 repeat spectra fall on opposite sides of 215 km/s.
# No preferred repeat-spectrum SPECT_ID is documented in the papers, so no silent object-level assignment is made.
mms2013_id	dr2_observations_for_object	dr2_spect_ids	dr2_sigma_stars_prime_values_km_s	sigma_regime_215_km_s	sigma_split_note
26438	1	M14_26438	207.0	low_sigma	single_spectrum
31835	1	M14_31835	202.4	low_sigma	single_spectrum
37322	1	M14_37322	157.0	low_sigma	single_spectrum
37723	1	M14_37723	204.0	low_sigma	single_spectrum
38648	1	M14_38648	308.2	high_sigma	single_spectrum
74563	1	M15_74563	245.0	high_sigma	single_spectrum
74882	1	M15_74882	195.8	low_sigma	single_spectrum
75008	1	M15_75008	142.9	low_sigma	single_spectrum
77632	1	M15_77632	273.1	high_sigma	single_spectrum
77662	1	M15_77662	236.7	high_sigma	single_spectrum
77745	1	M15_77745	312.1	high_sigma	single_spectrum
80755	1	M4_80755	215.2	high_sigma	single_spectrum
86122	1	M15_86122	215.6	high_sigma	single_spectrum
86907	1	M15_86907	240.5	high_sigma	single_spectrum
88032	1	M15_88032	248.9	high_sigma	single_spectrum
91529	1	M12_91529	300.5	high_sigma	single_spectrum
92258	1	M12_92258	203.5	low_sigma	single_spectrum
92979	1	M12_92979	227.4	high_sigma	single_spectrum
94494	1	M2_94494	203.8	low_sigma	single_spectrum
94982	1	M12_94982	243.0	high_sigma	single_spectrum
95303	1	M12_95303	201.7	low_sigma	single_spectrum
95323	1	M12_95323	193.2	low_sigma	single_spectrum
97931	1	M12_97931	256.2	high_sigma	single_spectrum
107362	1	M3_107362	239.3	high_sigma	single_spectrum
107643	1	M4_107643	248.2	high_sigma	single_spectrum
107960	1	M8_107960	248.0	high_sigma	single_spectrum
108361	1	M3_108361	144.6	low_sigma	single_spectrum
108989	1	M4_108989	310.3	high_sigma	single_spectrum
109259	1	M7_109259	239.4	high_sigma	single_spectrum
109352	1	M3_109352	248.4	high_sigma	single_spectrum
109713	1	M3_109713	181.9	low_sigma	single_spectrum
111975	1	M8_111975	278.2	high_sigma	single_spectrum
112827	1	M8_112827	252.1	high_sigma	single_spectrum
116829	1	M4_116829	145.8	low_sigma	single_spectrum
117400	1	M4_117400	245.6	high_sigma	single_spectrum
117992	1	M8_117992	217.5	high_sigma	single_spectrum
118552	1	M4_118552	231.8	high_sigma	single_spectrum
119474	1	M3_119474	265.6	high_sigma	single_spectrum
119700	1	M3_119700	238.2	high_sigma	single_spectrum
119802	1	M3_119802	202.0	low_sigma	single_spectrum
120308	1	M3_120308	222.7	high_sigma	single_spectrum
120781	1	M8_120781	167.7	low_sigma	single_spectrum
122025	1	M7_122025	155.2	low_sigma	single_spectrum
123161	1	M4_123161	195.7	low_sigma	single_spectrum
123261	1	M8_123261	230.0	high_sigma	single_spectrum
124233	2	M7_124233;M8_124233	215.4;205.5	ambiguous_repeat_spectra	repeat_spectra_straddle_215_km_s
125017	1	M8_125017	196.9	low_sigma	single_spectrum
125149	1	M4_125149	204.3	low_sigma	single_spectrum
128311	1	M5_128311	276.2	high_sigma	single_spectrum
131869	1	M2_131869	158.6	low_sigma	single_spectrum
133205	1	M6_133205	214.9	low_sigma	single_spectrum
133240	1	M1_133240	130.6	low_sigma	single_spectrum
133501	1	M2_133501	211.5	low_sigma	single_spectrum
133783	1	M1_133783	202.8	low_sigma	single_spectrum
134169	1	M1_134169	177.1	low_sigma	single_spectrum
135659	1	M5_135659	252.8	high_sigma	single_spectrum
139384	1	M6_139384	210.3	low_sigma	single_spectrum
139662	1	M2_139662	206.0	low_sigma	single_spectrum
139772	1	M1_139772	253.7	high_sigma	single_spectrum
147270	1	M7_147270	230.4	high_sigma	single_spectrum
147539	1	M8_147539	136.5	low_sigma	single_spectrum
150848	1	M8_150848	270.5	high_sigma	single_spectrum
156118	1	M8_156118	211.8	low_sigma	single_spectrum
158934	1	M8_158934	195.3	low_sigma	single_spectrum
160400	1	M8_160400	200.2	low_sigma	single_spectrum
162149	1	M8_162149	268.7	high_sigma	single_spectrum
163989	1	M8_163989	264.0	high_sigma	single_spectrum
165871	1	M5_165871	184.8	low_sigma	single_spectrum
168753	1	M6_168753	189.5	low_sigma	single_spectrum
169076	1	M6_169076	270.7	high_sigma	single_spectrum
171079	1	M5_171079	191.0	low_sigma	single_spectrum
174876	1	M5_174876	274.6	high_sigma	single_spectrum
180774	1	M12_180774	149.0	low_sigma	single_spectrum
181945	1	M12_181945	254.2	high_sigma	single_spectrum
183927	1	M12_183927	169.9	low_sigma	single_spectrum
