# One row per matching LEGA-C DR2 spectrum record; repeated objects are retained.
# The paper split is low_sigma for sigma < 215 km/s and high_sigma for sigma > 215 km/s.
# Missing source values are written as NaN.
mms2013_id	dr2_spect_id	dr2_spectrum_filename	dr2_observations_for_object	dr2_ra_j2000_deg	dr2_dec_j2000_deg	match_separation_arcsec	dr2_z_spec	dr2_sigma_stars_prime_km_s	dr2_sigma_stars_prime_err_km_s	sigma_regime_215_km_s	borghi_age_gyr	borghi_age_err_lower_gyr	borghi_age_err_upper_gyr	borghi_z_over_h_dex	borghi_z_over_h_err_lower_dex	borghi_z_over_h_err_upper_dex	borghi_alpha_over_fe_dex	borghi_alpha_over_fe_err_lower_dex	borghi_alpha_over_fe_err_upper_dex	dr2_f_primary	dr2_f_use	dr2_f_spec	dr2_f_z	dr2_f_ppxf	dr2_f_int	dr2_sn_per_pixel	dr2_sn_rf_4000_per_pixel	dr2_sn_obs_8030_per_pixel	dr2_lick_cn1_mag	dr2_lick_cn1_mag_err	dr2_lick_cn2_mag	dr2_lick_cn2_mag_err	dr2_lick_ca4227_angstrom	dr2_lick_ca4227_angstrom_err	dr2_lick_g4300_angstrom	dr2_lick_g4300_angstrom_err	dr2_lick_fe4383_angstrom	dr2_lick_fe4383_angstrom_err	dr2_lick_ca4455_angstrom	dr2_lick_ca4455_angstrom_err	dr2_lick_fe4531_angstrom	dr2_lick_fe4531_angstrom_err	dr2_lick_c4668_angstrom	dr2_lick_c4668_angstrom_err	dr2_lick_hb_angstrom	dr2_lick_hb_angstrom_err	dr2_lick_hd_a_angstrom	dr2_lick_hd_a_angstrom_err	dr2_lick_hg_a_angstrom	dr2_lick_hg_a_angstrom_err	dr2_lick_hd_f_angstrom	dr2_lick_hd_f_angstrom_err	dr2_lick_hg_f_angstrom	dr2_lick_hg_f_angstrom_err	dr2_lick_d4000_n	dr2_lick_d4000_n_err
133240	M1_133240	legac_M1_133240_v2.0.fits	1	150.161499	2.362485	0.018099	0.728200	130.6	8.7	low_sigma	3.080	0.635	0.643	0.257	0.090	0.121	0.162	0.059	0.065	1	1	0	0	0	0	11.4	12.1	15.9	0.062000	0.022400	0.093800	0.022600	0.551500	0.613900	5.442400	0.653000	6.039500	1.216200	1.151500	0.580100	0.658100	1.116700	7.939000	1.383700	2.036500	0.992700	-0.598100	0.585000	-3.719000	0.679100	0.501100	0.421400	-0.470900	0.537600	1.769800	0.034100
133783	M1_133783	legac_M1_133783_v2.0.fits	1	150.279022	2.368428	0.010763	0.692600	202.8	7.6	low_sigma	1.904	0.081	0.073	0.333	0.030	0.055	0.142	0.028	0.027	1	1	0	0	0	0	29.2	26.9	38.1	0.019000	0.010400	0.086800	0.010400	0.673700	0.192200	4.341400	0.392800	4.556700	0.382300	0.000000	NaN	3.326900	0.431800	7.144100	0.706000	2.448100	0.206200	1.504300	0.297500	-2.157300	0.330500	3.144700	0.204400	0.906700	0.286100	1.766600	0.018700
134169	M1_134169	legac_M1_134169_v2.0.fits	1	150.298889	2.372403	0.010890	0.738600	177.1	7.1	low_sigma	2.793	0.357	0.357	0.161	0.071	0.076	0.242	0.051	0.052	1	1	0	0	0	0	17.9	18.5	24.2	0.047500	0.017100	0.087900	0.017000	0.829700	0.309600	5.335100	0.421200	4.782400	0.829700	0.953800	0.410400	3.590400	0.804000	6.054100	0.849600	2.082600	0.806800	0.561400	0.363300	-3.657900	0.431900	1.676800	0.259000	-0.015200	0.368500	1.699500	0.022600
139772	M1_139772	legac_M1_139772_v2.0.fits	1	150.266861	2.439418	0.007738	0.696600	253.7	8.3	high_sigma	3.047	0.120	0.138	0.120	0.021	0.025	0.227	0.025	0.028	1	1	0	0	0	0	45.3	36.9	63.3	0.056900	0.007500	0.094300	0.007500	0.936800	0.120600	3.825000	0.284600	3.236300	0.265000	0.650200	0.151100	2.377200	0.258900	5.075600	0.498800	1.841900	0.134400	-1.017000	0.226400	-2.611200	0.226400	0.746500	0.158400	-0.401500	0.199700	NaN	NaN
205742	M1_205742	legac_M1_205742_v2.0.fits	1	150.088760	2.460641	0.003535	0.727300	210.5	7.0	low_sigma	3.070	0.268	0.392	-0.009	0.039	0.058	0.036	0.026	0.034	1	1	0	0	0	0	42.8	37.4	56.9	0.017300	0.007000	0.051700	0.007000	1.058900	0.197600	4.059800	0.215500	3.266700	0.397300	0.814100	0.193200	2.254600	0.412800	5.536800	0.611400	1.421900	0.324000	-0.627000	0.187000	-3.136100	0.206900	0.894800	0.134800	-0.243600	0.168300	NaN	NaN
206573	M1_206573	legac_M1_206573_v2.0.fits	1	150.267166	2.469770	0.013892	0.701800	236.9	6.1	high_sigma	3.304	0.192	0.290	-0.016	0.025	0.017	0.280	0.027	0.028	1	1	0	0	0	0	60.6	52.1	83.5	0.037600	0.005200	0.080200	0.005100	0.769900	0.086900	4.136500	0.184200	3.176600	0.195200	1.352800	0.175100	2.805000	0.185800	4.946600	0.337700	2.474900	0.128000	0.127100	0.148100	-2.311200	0.149300	0.951500	0.107600	-0.010100	0.130500	NaN	NaN
207825	M1_207825	legac_M1_207825_v2.0.fits	1	150.294662	2.488704	0.016827	0.696800	228.9	5.6	high_sigma	1.937	0.071	0.119	0.162	0.052	0.015	0.155	0.017	0.016	1	1	0	0	0	0	70.0	67.8	91.5	0.023700	0.004000	0.058100	0.004100	0.756200	0.068200	3.651200	0.150900	3.474600	0.160100	0.557700	0.091500	2.514400	0.160800	5.101900	0.279400	2.109300	0.093500	0.289200	0.117200	-1.543500	0.124300	1.346100	0.083200	0.469500	0.110100	1.692400	0.006500
208622	M1_208622	legac_M1_208622_v2.0.fits	1	150.138931	2.500771	0.005931	0.647900	196.5	11.9	low_sigma	3.677	0.760	0.994	-0.187	0.080	0.075	0.046	0.090	0.088	1	1	0	0	0	0	17.9	16.7	22.6	-0.000200	0.019100	0.034900	0.019100	0.672400	0.318600	4.463100	0.451500	4.866600	0.807800	1.777100	0.482000	2.987100	0.586900	0.430500	1.745100	0.764000	0.645500	0.566300	0.420400	-2.843300	0.430700	1.264000	0.302000	0.441200	0.368900	1.651000	0.027600
210210	M1_210210	legac_M1_210210_v2.0.fits	1	150.148117	2.517844	0.017743	0.654200	259.5	6.5	high_sigma	3.052	0.114	0.155	0.017	0.020	0.014	0.219	0.018	0.018	1	1	0	0	0	0	62.2	60.3	76.2	0.031900	0.005000	0.072700	0.005000	0.935600	0.079500	4.350900	0.122400	3.454600	0.219200	1.083900	0.106500	2.906300	0.165300	4.505000	0.335900	2.028100	0.163000	0.417600	0.119700	-3.306700	0.119100	1.471000	0.085100	-0.021300	0.107100	1.816800	0.007700
94494	M2_94494	legac_M2_94494_v2.0.fits	1	150.384674	2.328623	0.018320	0.740100	203.8	6.0	low_sigma	4.667	0.485	0.568	-0.237	0.037	0.033	0.283	0.041	0.045	1	1	0	0	0	0	30.6	34.4	42.4	0.011900	0.009200	0.044600	0.009200	0.664800	0.179900	4.189600	0.245900	3.491700	0.647900	0.853700	0.252800	2.354000	0.546900	3.645400	0.517000	2.318600	0.551100	0.942100	0.201100	-2.844700	0.248800	1.703000	0.143000	-0.096000	0.238100	1.640400	0.011700
