#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-07-21T20:04:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-21T20:04:52	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-out.src=J/ApJ/927/164/table4&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/927/164/table4&-out=[MMS2013]&-out=RAJ2000&-out=DEJ2000&-out=Age&-out=e16-Age&-out=e84-Age&-out=[Z/H]&-out=e16-[Z/H]&-out=e84-[Z/H]&-out=[a/Fe]&-out=e16-[a/Fe]&-out=e84-[a/Fe]&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19270164
#Name: J/ApJ/927/164
#Title: Stellar population properties from LEGA-C DR2 (Borghi+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/927/164	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/927/164	    IVOID of underlying data collection
#INFO	creator=Borghi N.	    First author or institution
#INFO	cites=bibcode:2022ApJ...927..164B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/927/164	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19270164	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_927_164_table4:
#Name: J/ApJ/927/164/table4
#Title: *Stellar ages, metallicities [Z/H], and [{alpha}/Fe] for 140 massive and passive galaxies at z~0.7
#Column	[MMS2013]	(I6)	[26438/259363] Object identifier (Muzzin+ 2013, J/ApJS/206/8)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	[149.7/150.8] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[1.7/2.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Age	(F6.3)	[1.2/6.1] Mean stellar age (single-burst star formation history) (1)	[ucd=time.age;stat.mean]
#Column	e16-Age	(F6.3)	[0.05/1.1] 16th percentile uncertainty in Age	[ucd=stat.error;time.age]
#Column	e84-Age	(F6.3)	[0.05/1.4] 84th percentile uncertainty in Age	[ucd=stat.error;time.age]
#Column	[Z/H]	(F6.3)	[-0.24/0.6] Mean stellar metallicity [Z/H] (1)	[ucd=phys.abund.Z;stat.mean]
#Column	e16-[Z/H]	(F6.3)	[0.01/0.15] 16th percentile uncertainty in [Z/H]	[ucd=stat.error;phys.abund.Z]
#Column	e84-[Z/H]	(F6.3)	[0.01/0.2] 84th percentile uncertainty in [Z/H]	[ucd=stat.error;phys.abund.Z]
#Column	[a/Fe]	(F6.3)	[-0.2/0.42] Mean stellar alpha-to-iron (1)	[ucd=phys.abund;stat.mean]
#Column	e16-[a/Fe]	(F6.3)	[0.007/0.11] 16th percentile uncertainty in [a/Fe]	[ucd=stat.error;phys.abund]
#Column	e84-[a/Fe]	(F6.3)	[0.009/0.12] 84th percentile uncertainty in [a/Fe]	[ucd=stat.error;phys.abund]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
[MMS2013]	RAJ2000	DEJ2000	Age	e16-Age	e84-Age	[Z/H]	e16-[Z/H]	e84-[Z/H]	[a/Fe]	e16-[a/Fe]	e84-[a/Fe]	Simbad
 	deg	deg	Gyr	Gyr	Gyr	[-]	[-]	[-]	[-]	[-]	[-]	
------	---------	---------	------	------	------	------	------	------	------	------	------	------
133240	150.16150	+02.36248	 3.080	 0.635	 0.643	 0.257	 0.090	 0.121	 0.162	 0.059	 0.065	Simbad
133783	150.27902	+02.36843	 1.904	 0.081	 0.073	 0.333	 0.030	 0.055	 0.142	 0.028	 0.027	Simbad
134169	150.29889	+02.37240	 2.793	 0.357	 0.357	 0.161	 0.071	 0.076	 0.242	 0.051	 0.052	Simbad
139772	150.26686	+02.43942	 3.047	 0.120	 0.138	 0.120	 0.021	 0.025	 0.227	 0.025	 0.028	Simbad
205742	150.08876	+02.46064	 3.070	 0.268	 0.392	-0.009	 0.039	 0.058	 0.036	 0.026	 0.034	Simbad
206573	150.26717	+02.46977	 3.304	 0.192	 0.290	-0.016	 0.025	 0.017	 0.280	 0.027	 0.028	Simbad
207825	150.29466	+02.48870	 1.937	 0.071	 0.119	 0.162	 0.052	 0.015	 0.155	 0.017	 0.016	Simbad
208622	150.13893	+02.50077	 3.677	 0.760	 0.994	-0.187	 0.080	 0.075	 0.046	 0.090	 0.088	Simbad
210210	150.14812	+02.51784	 3.052	 0.114	 0.155	 0.017	 0.020	 0.014	 0.219	 0.018	 0.018	Simbad
 94494	150.38467	+02.32862	 4.667	 0.485	 0.568	-0.237	 0.037	 0.033	 0.283	 0.041	 0.045	Simbad
131869	150.23157	+02.34680	 2.637	 0.431	 0.569	-0.129	 0.080	 0.102	 0.037	 0.061	 0.075	Simbad
133501	150.20291	+02.36306	 1.627	 0.117	 0.137	-0.156	 0.150	 0.107	-0.195	 0.038	 0.033	Simbad
139662	150.23232	+02.44046	 2.494	 0.316	 0.398	 0.371	 0.064	 0.068	 0.246	 0.042	 0.041	Simbad
208364	150.18863	+02.49771	 2.951	 0.367	 0.439	-0.061	 0.050	 0.084	 0.195	 0.056	 0.057	Simbad
210940	150.17291	+02.52810	 3.406	 1.021	 1.367	-0.050	 0.111	 0.188	 0.160	 0.107	 0.119	Simbad
107362	150.12547	+02.03834	 4.823	 0.928	 0.750	-0.102	 0.051	 0.067	 0.235	 0.064	 0.058	Simbad
108361	150.28709	+02.05336	 4.210	 0.389	 0.509	 0.096	 0.046	 0.046	 0.291	 0.042	 0.043	Simbad
109352	150.10892	+02.06395	 3.931	 0.624	 0.535	-0.164	 0.048	 0.050	 0.080	 0.061	 0.060	Simbad
109713	150.14252	+02.06936	 4.216	 0.496	 0.465	-0.176	 0.039	 0.038	 0.111	 0.050	 0.053	Simbad
119474	150.09239	+02.19362	 4.054	 0.149	 0.327	 0.105	 0.033	 0.025	 0.225	 0.025	 0.028	Simbad
119700	150.25838	+02.19896	 2.116	 0.205	 0.301	 0.225	 0.061	 0.061	 0.057	 0.049	 0.047	Simbad
119802	150.10361	+02.19792	 3.231	 0.404	 0.496	-0.091	 0.045	 0.055	 0.118	 0.058	 0.055	Simbad
120308	150.09563	+02.20370	 3.272	 0.410	 0.479	-0.057	 0.042	 0.055	 0.256	 0.047	 0.047	Simbad
 80755	150.37038	+02.11978	 2.136	 0.204	 0.267	 0.189	 0.040	 0.053	 0.192	 0.042	 0.040	Simbad
107643	150.18550	+02.04409	 3.393	 0.774	 0.892	 0.103	 0.073	 0.092	 0.119	 0.078	 0.097	Simbad
108989	150.21844	+02.05775	 4.028	 0.563	 0.642	 0.067	 0.071	 0.066	 0.060	 0.045	 0.047	Simbad
116829	150.19984	+02.16226	 2.334	 0.253	 0.312	 0.255	 0.061	 0.056	-0.063	 0.039	 0.042	Simbad
117400	150.24217	+02.16850	 3.690	 0.461	 0.311	 0.204	 0.040	 0.052	 0.245	 0.043	 0.026	Simbad
118552	150.36835	+02.18303	 2.159	 0.120	 0.112	 0.464	 0.032	 0.035	 0.241	 0.023	 0.023	Simbad
