cell,mode,target,is_mock,tilt,snr_scale,seed,pixels,ess,calls,wall_s,logZ,logmass_q16,logmass_q50,logmass_q84,mwa_gyr_q16,mwa_gyr_q50,mwa_gyr_q84,Z_q16,Z_q50,Z_q84,afe_q16,afe_q50,afe_q84,diffuse_tau_kc_q16,diffuse_tau_kc_q50,diffuse_tau_kc_q84,spectrum_scaling_q16,spectrum_scaling_q50,spectrum_scaling_q84,f_calib_pct_q16,f_calib_pct_q50,f_calib_pct_q84,logmass_truth,mwa_gyr_truth,Z_truth,afe_truth,diffuse_tau_kc_truth,spectrum_scaling_truth,f_calib_pct_truth
mock_tilt0.00_snr0.25_seed1_all,all,M5_172669,True,0.0,0.25,1002,3602,3085.3,1072500,232.1,231918.0,11.10744,11.11538,11.12261,1.65832,1.69893,1.81359,-1.76698,-1.74692,-1.72766,0.15762,0.17669,0.19728,0.00463,0.01126,0.01815,1.22968,1.24894,1.26813,1.00815,1.03159,1.0813,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr0.25_seed1_features,features,M5_172669,True,0.0,0.25,1002,1389,3064.0,1020500,193.2,89702.29,11.11076,11.12041,11.13196,1.66012,1.72351,1.89932,-1.8147,-1.78092,-1.74931,0.1852,0.2111,0.23935,0.00901,0.01893,0.02848,1.23503,1.25447,1.27288,1.01895,1.07133,1.16972,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr0.25_seed1_features_downweight,features_downweight,M5_172669,True,0.0,0.25,1002,3602,3138.5,1014000,192.7,226595.41,11.11137,11.12086,11.13214,1.66028,1.72457,1.88917,-1.81129,-1.77998,-1.75014,0.1821,0.21052,0.24028,0.00815,0.01798,0.02863,1.23402,1.25349,1.27318,1.01978,1.07314,1.18636,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr0.25_seed2_all,all,M5_172669,True,0.0,0.25,2002,3602,3038.3,1105000,150.2,231920.03,11.10615,11.11438,11.12297,1.65749,1.68978,1.78737,-1.74302,-1.72472,-1.70764,0.13331,0.15269,0.17287,0.00259,0.00778,0.01399,1.2263,1.24391,1.26227,1.00729,1.02665,1.06522,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr0.25_seed2_features,features,M5_172669,True,0.0,0.25,2002,1389,2970.3,1020500,186.1,89693.61,11.10651,11.11455,11.12338,1.65276,1.67676,1.74599,-1.76711,-1.74085,-1.71364,0.15514,0.18088,0.20806,0.00429,0.01188,0.02145,1.22924,1.24881,1.26886,1.0176,1.06343,1.14939,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr0.25_seed2_features_downweight,features_downweight,M5_172669,True,0.0,0.25,2002,3602,3105.1,1040000,138.8,226583.83,11.10655,11.11495,11.12392,1.65162,1.67346,1.74866,-1.76534,-1.73681,-1.71084,0.15302,0.17897,0.20586,0.00424,0.01204,0.02137,1.22818,1.24697,1.26581,1.01678,1.06446,1.16108,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr1.00_seed1_all,all,M5_172669,True,0.0,1.0,1010,3602,3176.2,1365000,217.1,236513.84,11.09782,11.10502,11.11212,1.65413,1.66949,1.72562,-1.73632,-1.72934,-1.72266,0.13744,0.14486,0.15197,0.00898,0.01179,0.01452,1.24277,1.26189,1.28193,1.0002,1.00081,1.00197,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr1.00_seed1_features,features,M5_172669,True,0.0,1.0,1010,1389,3156.6,1261000,195.1,91449.28,11.09634,11.10307,11.10947,1.6527,1.66424,1.71828,-1.74781,-1.73663,-1.72551,0.14247,0.15343,0.16419,0.00801,0.01215,0.01673,1.24469,1.26393,1.28302,1.00047,1.00209,1.00545,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr1.00_seed1_features_downweight,features_downweight,M5_172669,True,0.0,1.0,1010,3602,3097.1,1306500,207.9,228314.26,11.09777,11.10459,11.11382,1.65434,1.67256,1.78264,-1.74877,-1.73772,-1.72537,0.14177,0.15203,0.16324,0.00864,0.01252,0.01628,1.24562,1.262,1.28023,1.00047,1.00197,1.00488,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
mock_tilt0.00_snr1.00_seed2_all,all,M5_172669,True,0.0,1.0,2010,3602,3219.6,1378000,183.9,236464.66,11.11761,11.1237,11.13021,1.65608,1.6735,1.71782,-1.72922,-1.72198,-1.71524,0.13299,0.14028,0.1476,0.00635,0.00915,0.01196,1.18891,1.20557,1.22144,1.00021,1.00086,1.0021,11.10957,1.65697,-1.72274,0.13613,0.01124,1.23814,2.89651
