particles,order,old,new,speedup
100,0,,12.546232901513577,
100,3,16.692806966602802,16.40802714973688,1.017356127843224
100,5,18.469952046871185,16.72642771154642,1.1042376988913891
100,10,35.903691314160824,17.079729586839676,2.102122936526199
100,24,131.35630637407303,21.38175070285797,6.143384056784247
500,0,,5.875300616025925,
500,3,8.408572524785995,7.575749419629574,1.109932768235244
500,5,10.469857603311539,7.705509662628174,1.358749526211159
500,10,19.475065171718597,8.30396730452776,2.3452723809617804
500,24,76.16699114441872,9.942631237208843,7.660647300221182
