parameter,baseline_median,fastpath_a_median,mean_shift_pooled_sd,median_shift_pooled_sd,max_quantile_shift_central_width,wasserstein_pooled_sd,passed
Z,-1.244981166751721,-1.2454207649233393,0.06911498905639048,0.03771488994774232,0.09909267264248552,0.06998862618486974,True
afe,0.016701761169032648,0.011064462747282924,0.5786346321079137,0.6924842911951755,0.34478250556814427,0.5793384365537884,False
diffuse_tau_kc,0.3012600322562318,0.29793809787664904,0.39225057327442814,0.3935882756102432,0.27160528990492944,0.39260738098571046,False
logsfr_ratios[0],-0.8477762286171262,-1.9759107215673313,1.04806352602087,1.433511900523276,0.652389668800436,1.04806352602087,False
logsfr_ratios[1],2.022653258490735,2.063356954890379,0.051043440681809646,0.07103274026338251,0.09031658524508361,0.14013948996957282,True
logsfr_ratios[2],-0.4900421218605816,-0.6834224779058453,0.21723828642075338,0.30390759114147176,0.21591026976734326,0.25644570708326364,False
logsfr_ratios[3],-2.6427733307793853,-2.4421034672383892,0.48155527405875065,0.6259023465909731,0.30059160049319616,0.481566406911135,False
logsfr_ratios[4],0.585315233756933,0.6925325148414879,0.4482319520348016,0.5570014255097574,0.4474392473798287,0.5790716189271529,False
logsfr_ratios[5],-0.795868184502686,-0.858966482251782,0.07586584207950896,0.2606517951683164,0.2577105509715328,0.4231256916754497,False
logsfr_ratios[6],0.5922078978399604,0.2080441375255595,0.9848427609740703,0.8214811068266094,0.6564276373864493,0.9848427609740756,False
logmass,11.466681163160333,11.47221536280763,0.576239658951685,0.5043722973605848,0.44281166526354954,0.576239748391378,False
log_f_calib,-3.0720212087127066,-3.0704029020746195,0.06864037256039265,0.11231234346866492,0.10926889726077199,0.13950968656458884,True
