target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,dt_q16,dt_q50,dt_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
27068-M14_27068,27068,M14_27068,0.6783069968223572,178.10000610351562,21.200000762939453,95,20260925,11.474278314736809,11.489987685415985,11.508295859022574,-2.385185489558167,-2.3429700725817835,-2.3037855175447466,0.0538740505390564,0.07744965977259194,0.09968379317987257,0.7702995586274477,0.8158543342965247,0.8647756713733263,5.3255876954296495,5.4601994707671455,5.612836512445283,4.002627232097196,4.194046893234907,4.542683762983626,5.437374009169435,5.618724608180905,5.791933249149641,6.628686746059651,6.7012269856642375,6.770510442051732,2.22821372733396,2.506629236853367,2.623553847594575,True,3797.7134812032764,3464,3767.0052984194804,3452,30.708182783796175,12,3932.663144444886,226345.97433745585,0.3484129888325778,7029238,19700,397.7418690752238,1.0963376100471351
31835-M14_31835,31835,M14_31835,0.67740398645401,202.39999389648438,27.399999618530273,68,20260898,11.094526744206433,11.121181536344373,11.150381259502531,-1.839074197581464,-1.808915753139795,-1.7790541755398892,0.06417449628444262,0.08222381602534652,0.09840581608186559,0.3521107035015843,0.4046784837112267,0.4483561812308679,3.019932004529171,3.3948070846299956,3.7606528042362757,1.8033090825326237,1.9544647451159034,2.1504032371380157,3.015166426561682,3.343070050440544,3.681850846572713,4.220555790619031,4.593372530854723,5.153568349121369,2.417420972145806,2.6514404550842547,3.0329177129188,True,3845.759731540957,3570,3841.813781990574,3558,3.9459495503829314,12,3636.8389311779433,233881.6050860942,0.2839155756901371,7134611,18400,376.9478589569917,1.07724362228038
36550-M14_36550,36550,M14_36550,0.7386149764060974,80.5999984741211,8.0,168,20260998,10.991974798017814,11.024143486149185,11.051537364618628,-2.6507151096284978,-2.5730511777881704,-2.4780513577215864,0.000972276453663791,0.06586957913434902,0.12928022248264212,0.4644945103038704,0.5365659759536492,0.6001315568629753,5.068904941020775,5.261957114576395,5.492067025197035,3.799741860856859,4.056937920525961,4.548574098781078,5.215741911185007,5.460053110324095,5.683433859730269,6.33550873673376,6.433233216389396,6.5225855161518655,1.9723546071333748,2.373558113650713,2.5446386581978615,True,4018.3829734071187,3373,4008.709454746268,3361,9.67351866085076,12,3638.8751774237503,219992.51845647438,0.21112863235664223,5414291,16000,386.6983227819437,1.191337970177029
37023-M14_37023,37023,M14_37023,0.7354879975318909,225.10000610351562,21.0,97,20260927,11.331848317459238,11.358291039160989,11.385430943858134,-2.0208596641060823,-1.9806347219035132,-1.9400580892965205,0.050774259798398474,0.07309779334869826,0.09416255324900309,0.5837009766706869,0.6053687877454745,0.6341629822498075,4.017230568924508,4.29364159644941,4.587935611492056,2.424862322346261,2.803308902844521,3.2179755077360226,4.009498763850272,4.339598123246584,4.68905267777646,5.600455482625233,5.934999110553602,6.149675994786049,2.8464047761797353,3.057664060863973,3.2581059369793373,True,3730.6231565213448,3405,3697.0337289484987,3393,33.58942757284609,12,4702.936072509305,222459.7993568196,0.24941805535241401,7614991,21600,424.59068681672215,1.0956308829724948
37219-M14_37219,37219,M14_37219,0.7346779704093933,182.10000610351562,15.0,129,20260959,11.022039649385384,11.049019100294023,11.075315468863371,-1.9836516474950419,-1.90591764200061,-1.8551604330212543,-0.0312917286791929,-0.011944861655431759,0.014144956218728915,0.2931523317938614,0.3182518614066808,0.3409014398605303,4.1074831428640755,4.413302436357114,4.733965381267136,2.554685023098237,3.045982069138356,3.378080377993136,4.107995526833885,4.470455746294267,4.903422178410998,5.705424348678642,6.0078741498769626,6.231146891272984,2.7483977612277757,2.966762936445844,3.141953718602049,True,3834.3076338934097,3552,3806.54524977861,3540,27.76238411479986,12,4584.181397548173,233722.90346650023,0.27551090549855417,6888220,19700,387.00233541056514,1.0794785005330545
37723-M14_37723,37723,M14_37723,0.7360039949417114,204.0,22.899999618530273,86,20260916,11.14373542602238,11.165925434179584,11.184742217939817,-1.7133963869607214,-1.6851611313983867,-1.6497539808497612,-0.09921215388500093,-0.08621500627215517,-0.07433436957080171,0.319748040156966,0.3440877160208926,0.3668201757283138,3.6950376928446667,3.9132467279240495,4.096307730781103,2.152615056983938,2.331897201823205,2.534420569840115,3.6659544267226756,3.8936922821232756,4.099386677136493,4.953837616154812,5.451808365738068,5.718142598852566,2.79588429733038,3.0647193328330755,3.24190473776732,True,3706.4811648294644,3420,3667.845697138429,3408,38.63546769103543,12,4164.451024006806,225032.78687322902,0.30054878352640996,7722699,22700,433.73111098993104,1.0837664224647556
37843-M14_37843,37843,M14_37843,0.9693750143051147,148.10000610351562,6.5,178,20261008,11.351690244859167,11.386120277657998,11.409710498483197,-2.7838376939077767,-2.7233822432092296,-2.6388326058197253,0.013246815077874848,0.06029601401527142,0.10637354643968681,0.4777807631634193,0.5384063450584522,0.6019884693191692,5.363586209185958,5.483155976939493,5.488696610858154,5.129977291868733,5.194057995141668,5.19549709152834,5.447840280398138,5.487890719943722,5.488790155185392,5.765703268927543,5.781723444745776,5.782083218842445,0.5865861273141044,0.5876654496041085,0.6357259770588092,True,4111.753429341162,3829,4106.340244810279,3817,5.413184530883308,12,3338.0469462983633,251186.61310847377,0.23295431501927952,5083776,15400,298.83722704299726,1.07384524140537
38646-M14_38646,38646,M14_38646,0.9688860177993774,120.4000015258789,9.699999809265137,160,20260990,11.38458171132684,11.412807402799327,11.463735036818658,-2.0764289585843403,-1.7770044932393012,-1.7247222595696412,-0.028428708033715812,-0.00017223487755558853,0.028601176234960342,0.38452910898402276,0.4176684040304356,0.44086685790847496,3.3892441470609604,3.7076266001762166,4.491525267760024,2.0297536694238616,2.3510390530866827,3.553080162857717,3.450125334746739,3.822388095178012,4.603135203778877,4.638915400509418,4.992758973666309,5.48623102146157,1.9526574421163014,2.571152385883022,2.6927742658073908,True,4437.982532784749,3829,4368.451956306711,3817,69.53057647803841,12,7432.687783831196,251213.7158732059,0.2862104200909156,7870081,23000,552.4506330949953,1.1590447983245624
38648-M14_38648,38648,M14_38648,0.6742770075798035,308.20001220703125,52.70000076293945,5,20260835,11.539713931022073,11.558569117417761,11.581803843900639,-2.16282449800274,-2.114782576147272,-2.080462869209856,0.14450702992082973,0.1633804141636081,0.18773729378502743,0.7193291118967527,0.7653287662604074,0.8142026083265865,3.126119226563428,3.273879952063849,3.4680212623319697,1.8310759651284212,1.8897436196110977,1.9740348300673942,3.101118043071546,3.2308497948226513,3.407079400084438,4.335720114643392,4.481489506308966,4.704335260659004,2.5043856427586055,2.5940680697770855,2.721923818887073,True,3786.5311509999133,3578,3756.2413135276884,3566,30.28983747222483,12,5208.244136107609,232882.29744257036,0.39844925280015603,9342499,25800,521.9859623685479,1.058281484348774
38771-M14_38771,38771,M14_38771,0.6757680177688599,165.8000030517578,12.300000190734863,147,20260977,10.712294365856954,10.748627971692809,10.78396121271106,-1.6854634010802585,-1.6146523710514202,-1.54722831278358,-0.15646651395295397,-0.11379920118317477,-0.05098503596574687,0.4786756868987938,0.5261063529486658,0.5743257039241539,3.1567064377566125,3.6425323032118344,4.155422626047438,1.3382412230105447,1.5778644644536581,1.9857289070485822,2.799993095870958,3.5379628053356504,4.415602605373276,4.868833424540603,5.796305407658602,6.275091877376822,3.4747489155372864,4.1181426678209885,4.407194268529287,True,4035.484000852711,3562,4026.2632697742965,3550,9.220731078414362,12,3239.837956015196,232809.84766192996,0.23999425270773064,5149375,14800,292.44992734119296,1.1329264460563477
