target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,dt_q16,dt_q50,dt_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
27068-M14_27068,27068,M14_27068,0.6783069968223572,178.10000610351562,21.200000762939453,95,20260925,11.080393188137695,11.089276454538556,11.100377809376184,-1.7734492234232775,-1.7349261617231695,-1.6946466822447352,0.10337361365376997,0.12199073690983599,0.14096122714060463,0.47649553701046493,0.4973591438170898,0.5156021438199068,2.6276286794702663,2.6892900171383514,2.804825733756806,1.4345610496953,1.47999962979849,1.5270275879704045,2.501646745893223,2.5681627111582,2.6450508595525197,3.900986617005576,3.9689365800312197,4.110086540836413,2.455490560843334,2.478899751011658,2.627220844429416,True,4071.1739687448317,3464,3903.0006376259626,3452,168.1733311188691,12,3372.282855359359,225837.9223101356,0.22784110763487037,1254500,19800,1039.9062085757032,1.1752811688062448
31835-M14_31835,31835,M14_31835,0.67740398645401,202.39999389648438,27.399999618530273,68,20260898,10.976810194404663,10.985984231217968,10.994529937598191,-1.8242729759909866,-1.7980880183635173,-1.7703576386456987,0.2586882085257221,0.27957934645177507,0.30231449253833115,0.1260342946089376,0.1376340090848368,0.1488581588834088,2.977214261384722,3.006448035771625,3.076284145474633,1.7620642427455633,1.7935956027808455,1.815428774146809,2.957466480436568,2.9990360403019833,3.05081939276939,4.191397550625734,4.212182728604769,4.279486617653492,2.410574909705247,2.426263332944499,2.476756567008961,True,3898.780238960017,3570,3845.332946453903,3558,53.4472925061143,12,3006.5304255783362,233693.56029631355,0.2987922899651191,1046500,16600,848.7151893666014,1.092095305030817
36550-M14_36550,36550,M14_36550,0.7386149764060974,80.5999984741211,8.0,168,20260998,10.752003042745345,10.764262720352512,10.777379239156605,-1.9586638676760875,-1.8953926106682122,-1.8433159465649922,0.005035054406888633,0.04632490514248556,0.08775558857152468,0.2536614552366036,0.2758251252526887,0.29793157253125196,2.862457026633287,2.9558250097339585,3.100946149240791,1.6368174919011702,1.7123944485340512,1.7792595608530852,2.7905365212964424,2.9216791156928688,3.043218300045225,4.117505624197516,4.192681857918924,4.365460122349232,2.448341786850773,2.477011968536911,2.6237567995666216,True,4151.9185573100185,3373,4126.3705562140385,3361,25.54800109597975,12,3447.9135390655874,219934.6559028623,0.19784065085426175,1014000,16100,821.4774004742503,1.2309275295908741
37023-M14_37023,37023,M14_37023,0.7354879975318909,225.10000610351562,21.0,97,20260927,11.193229383049422,11.200981208110178,11.20858189170507,-1.8971154889585558,-1.8696823867976415,-1.8424820671132454,0.0697259435996509,0.08771624741966554,0.10576097935986052,0.4475145494505003,0.4616714658562032,0.4784575938248023,2.816523323148223,2.8517415490316056,2.8833398002376778,1.610147184270969,1.6410434172205393,1.669523502715242,2.744571604298782,2.7874913105099504,2.828479842760933,4.080374977321042,4.107211506181045,4.137282943267818,2.45649384189589,2.4654525588218568,2.4833355903267575,True,3923.666144340283,3405,3863.1972410749113,3393,60.46890326537189,12,3668.8419731123786,222178.4741278533,0.3160090579341338,1215500,19200,1026.5198742169887,1.1523248588370876
37219-M14_37219,37219,M14_37219,0.7346779704093933,182.10000610351562,15.0,129,20260959,10.866030740945675,10.875146984525424,10.884940718880296,-1.8916255948549825,-1.865527007069391,-1.8353149315572923,0.03442898161612165,0.051331720266129394,0.07197816819747802,0.20681066115815178,0.22314405471096968,0.2349996515440884,2.9093815501303992,2.954769485681185,3.054565128232129,1.699796847025803,1.7332212336442283,1.7652750524958176,2.8640260591138706,2.9194372019872734,2.9976242990426503,4.14841712125769,4.182410461702149,4.2985434021636975,2.437165913002629,2.4517504185283094,2.534852403536782,True,3913.137470706154,3552,3879.29030971037,3540,33.84716099578418,12,3353.0888616108114,233596.1761161755,0.280187041423428,1072500,17000,867.584728169255,1.1016715852213272
37723-M14_37723,37723,M14_37723,0.7360039949417114,204.0,22.899999618530273,86,20260916,11.03295460658436,11.04043176381043,11.049090938920452,-1.6371626417654301,-1.6179421539360772,-1.6000497573779635,-0.06452628331058444,-0.05341846013890715,-0.043093820255941995,0.20332293253405673,0.21726462599104823,0.23081116928369244,2.932535781484217,2.9576044801313985,3.002480773480649,1.721962934156821,1.7367428988393825,1.7569010138492198,2.895512657169298,2.922606173890622,2.9665860984755663,4.160811877916016,4.183322844229686,4.229255369586308,2.4328112954526215,2.4450955868753166,2.488919331108924,True,3777.3464622776346,3420,3743.2952626184538,3408,34.05119965918072,12,3781.1654466700247,224829.156342957,0.24049189515292288,1215500,19200,996.5432019326836,1.104487269671823
37843-M14_37843,37843,M14_37843,0.9693750143051147,148.10000610351562,6.5,178,20261008,11.08281360931429,11.093533887269974,11.104292211408973,-1.9860202916399143,-1.9513734485956051,-1.9045366368440924,0.09770921406119068,0.13751493688165742,0.16909829715239896,0.5423670490107472,0.5712718155073243,0.5951540572135291,2.991993206837522,3.012108008633242,3.086886191563737,1.7880263353710097,1.799151057565107,1.8325975360399096,2.9929704979293685,3.0164305352609047,3.100670737605284,4.199756892848884,4.2227734127624785,4.312980656858477,2.4116156281107783,2.4268683768273815,2.4796869769450947,True,4166.494254801673,3829,4062.088713715937,3817,104.40554108573639,12,3386.632578196366,251100.3041909561,0.22914247291793846,1176500,18600,969.3435889044777,1.088141617864109
38646-M14_38646,38646,M14_38646,0.9688860177993774,120.4000015258789,9.699999809265137,160,20260990,11.33625038578616,11.353308714449907,11.381995298644561,-1.7143088366122272,-1.680013155568577,-1.6475509729703572,-0.035609031310896516,-0.01725626196731671,0.0009117447715266989,0.5692810503912291,0.5853741340968375,0.6004639938169792,3.0264338801117034,3.200751681326878,3.5135881694155713,1.807973563091838,1.9010062805527141,2.117853153021634,3.036325496788685,3.23639456999132,3.5858664503518627,4.237150843503341,4.426152165858755,4.755731206794827,2.421861244980365,2.4875235768096973,2.6560519474722337,True,4507.451770395149,3829,4322.183578379875,3817,185.26819201527354,12,3357.2811453983722,251175.52243213673,0.2085749391418388,1274000,20100,1070.3892333144322,1.1771877175228909
38648-M14_38648,38648,M14_38648,0.6742770075798035,308.20001220703125,52.70000076293945,5,20260835,11.29776792800324,11.30455658949872,11.311431897599068,-1.5758389812067377,-1.5577774800085447,-1.535909320399469,0.3246618058855507,0.3426753715804384,0.36278507223258727,0.5645171510057001,0.5762215906195516,0.589399381082321,1.6504890128647054,1.6624188779545945,1.717970421704375,0.8335131729114458,0.8377289209937012,0.847614144206754,1.6480396014553795,1.6543183867470805,1.6773767018659305,2.462457502628295,2.4711867407844723,2.507309498602654,1.6283087986555225,1.6347143965091184,1.6601517623722597,True,4055.6214591787834,3578,3856.599267691363,3566,199.0221914874205,12,3573.2901006927564,231242.934186702,0.28145606595476774,1267500,20000,1073.920364140533,1.1334883899325834
38771-M14_38771,38771,M14_38771,0.6757680177688599,165.8000030517578,12.300000190734863,147,20260977,10.658112627126272,10.727073997507599,10.757924790132563,-1.467698697790179,-1.3619803521839593,-1.2817559525449445,0.004717863561016719,0.061311173176101505,0.12086914730634642,0.3040139517446542,0.3247067360801932,0.346321138586513,3.7376652078218697,4.390443562247317,4.78036301285009,0.9993347263739308,1.510634701965503,2.3902501325621164,3.603688204347407,5.291438657262227,5.653787245308943,6.075483392210235,6.5792514201479335,6.72419085536662,3.5830373615669275,4.845890860637615,5.257565580361209,True,3979.8391215176534,3562,3932.843470019582,3550,46.9956514980711,12,3506.527590349105,232757.0196440969,0.2128797571284493,1072500,17000,960.8493136353791,1.1173046382699756
39865-M14_39865,39865,M14_39865,0.8291419744491577,150.8000030517578,6.800000190734863,176,20261006,10.847584320607732,10.894663592966712,10.920340125496962,-1.5319967148100775,-1.4680138087120955,-1.4169562097906852,0.06047132101781592,0.09892146932089466,0.1343497671443988,0.3115803425898749,0.34900079815809343,0.38627695725550953,3.1285492357868576,3.6364126303730258,4.010047799439726,1.4032189229055598,1.6885070165889302,1.9884892051463114,2.7048563308738625,3.717115856260725,4.645987569409342,4.683476127681437,5.480775873498535,5.912019307087267,3.1013951742642774,3.6841894948610037,4.099442015126619,True,3834.788564051103,3450,3802.865670117305,3438,31.922893933797972,12,3966.0737132472336,225414.34482999874,0.23129940987265354,1066000,16900,914.4791727373376,1.1115329171162618
77632-M15_77632,77632,M15_77632,0.8252720236778259,273.1000061035156,34.5,36,20260866,11.410133516917732,11.419533774412514,11.428928966229044,-1.8690312016445185,-1.8555484093334673,-1.8432419675456424,-0.1977920612367824,-0.19231462515728856,-0.18393208385840926,0.24790134342983544,0.2589409732893507,0.26873775987465487,3.00088708144807,3.028304705162751,3.151431410285098,1.7963462934161611,1.8083159166573195,1.8536590197414948,2.9988786973277035,3.026316507745197,3.1345066412051037,4.203218013704349,4.232994259380878,4.375862431644957,2.406470395053476,2.4251399811622076,2.5078686515430926,True,4161.370199202602,3443,4025.5654450507814,3431,135.80475415182022,12,3004.538798378294,223535.27367605874,0.3258208525676199,1111500,17600,915.9184647155926,1.2086465870469363
77745-M15_77745,77745,M15_77745,0.8255519866943359,312.1000061035156,30.700000762939453,49,20260879,11.493844228954783,11.519854967140123,11.538833509592353,-1.4432014262104613,-1.4226066402218112,-1.4009139300698026,-0.1494030340000425,-0.13974130284428105,-0.12940205116852166,0.2017045838603132,0.21044504115986978,0.2186596177267423,3.7653641792230155,4.121882415029115,4.36243298396941,1.9769373075163055,2.13819039471937,2.333284765352429,3.804521851389166,4.579086636628507,5.129392056211224,5.5899568979951235,5.912930124979715,6.030591577060072,3.5291582910479438,3.7557449609632894,3.794980443658438,True,4021.622467627272,3462,3954.9394016010137,3450,66.68306602625799,12,3696.096717818142,224877.61339065825,0.31091562495089303,1267500,20000,1119.1923494683579,1.1616471599154454
84337-M4_84337,84337,M4_84337,0.8388000130653381,256.20001220703125,14.899999618530273,130,20260960,11.448738832712602,11.478319855963527,11.510346347643956,-1.7440220577106795,-1.7081529389651557,-1.676117728588942,-0.08550004066065835,-0.07116084118945479,-0.05403879671602013,0.25722034760224,0.27589507751947195,0.29553518296882525,3.6763569704882397,4.065407845056658,4.359271215243752,2.070833581649623,2.288138150823321,2.6543672075071796,3.6846133240670675,4.231348539292062,5.017019155787839,5.165634001618736,5.730888689453202,5.946781492926071,2.743207934404082,3.3946095749682694,3.53548943125985,True,4044.348542723306,3707,3956.170021728189,3695,88.17852099511674,12,3749.441802209182,241817.07242190524,0.3188933462394011,1202500,19000,1008.8082863586023,1.0910031137640426
87207-M15_87207,87207,M15_87207,0.8325369954109192,133.8000030517578,7.5,169,20260999,10.991762110178046,11.023333980681592,11.049021977768668,-2.1005143804163278,-2.047099745067663,-1.9663331678627716,0.00967388032184542,0.03646586647534754,0.07162178963367344,0.3597112197513453,0.3921365892885067,0.4234647410532001,4.262099444286824,4.549723424545454,4.788197757565711,3.169606434865697,3.468555114765643,3.702469658414375,4.313729569349357,4.596135076927853,4.886256609306908,5.589930820309462,5.779635566150064,5.919690079571023,2.2005716234668986,2.3226200435078397,2.4239068032499955,True,4640.252722239366,3825,4600.883725474434,3813,39.36899676493207,12,3565.366003924778,251013.15934560038,0.26250241627338305,1072500,17000,872.1144359279424,1.2131379665985271
88032-M15_88032,88032,M15_88032,0.8392300009727478,248.89999389648438,22.600000381469727,88,20260918,11.232076010621263,11.240366545255908,11.251792977793478,-1.6378269701098354,-1.6136293100322856,-1.5919717201288395,-0.13512845283954486,-0.12117559529473604,-0.10848750792511114,0.16524938456419522,0.17682414251240755,0.18929117081878036,2.846744570233256,2.874948421292932,2.9780282122347606,1.6382293961565635,1.6601105413109465,1.6914270438233618,2.7796115095921694,2.8127613982194557,2.894837850996322,4.102630256190722,4.126697811481857,4.255646481223858,2.4539950273230486,2.4713987787393625,2.5649129886111894,True,4120.617984202317,3661,4064.274537200347,3649,56.34344700197015,12,3291.7710601311933,239410.04260806544,0.30514034006816454,1137500,18000,936.1810628063977,1.1255443824644404
89072-M15_89072,89072,M15_89072,0.836991012096405,181.1999969482422,7.099999904632568,173,20261003,10.842802246316108,10.855402819156113,10.87328737890574,-1.7642640825837088,-1.6946271194252756,-1.638515857155075,-0.11243580222724248,-0.08508332173935987,-0.05437287133859722,0.3468797774043252,0.37688647199380915,0.40165871615802407,2.8861156804131047,2.97201811755258,3.151849819029491,1.66724049899594,1.7298616730158247,1.8106730741165946,2.8245956763672577,2.925799421148408,3.1243366112735025,4.133547928000597,4.201545441553639,4.421362358385232,2.4402742102139787,2.470053601775305,2.6408033137584495,True,4252.099271458644,3673,4224.345750506316,3661,27.753520952327587,12,3571.9935817086357,241108.6202940517,0.30548050361921797,1020500,16200,841.7757900850847,1.1576638364984055
89153-M15_89153,89153,M15_89153,0.8350780010223389,160.10000610351562,9.800000190734863,158,20260988,10.843767553969501,10.855124571412603,10.869086575271286,-1.6752115095461484,-1.5942476601029616,-1.5190881353592582,0.17852296859204722,0.23763112549298188,0.29736508710718096,0.9151573401491507,0.9426121954028509,0.9707087591875829,1.6276062856325768,1.6603283985013912,1.813433259790182,0.7812766849273441,0.8162698563059235,0.8415834257876631,1.615485681038574,1.6434826637130562,1.7062315803271206,2.4543766503353663,2.4783688666727226,2.585499981294377,1.6483162973163765,1.680304302275714,1.747755040753352,True,3890.865334952244,3426,3847.874879905001,3414,42.99045504724322,12,3417.5552310903568,224406.5773953284,0.16574069002403832,1105000,17500,934.4837222602218,1.1356874883106376
91529-M12_91529,91529,M12_91529,0.840624988079071,300.5,34.79999923706055,34,20260864,11.414053474516823,11.422112327932894,11.431221180597607,-1.796470212026247,-1.7629159855031968,-1.7375273874379007,0.042233082428958686,0.055359468739702794,0.06836444987991476,0.42234839345895475,0.4347040985811186,0.4477507703039142,2.353399849114156,2.3972880836169788,2.4409919149154264,1.2390742110846218,1.2694879394983785,1.2996885471154496,2.216580672636597,2.2610956664808017,2.304259134242787,3.463795462475482,3.5569256112560765,3.6367787052096774,2.2250209746115814,2.2858010732880634,2.341518696813821,True,4287.564038076332,3833,4226.156607894505,3821,61.4074301818263,12,3494.649355891116,249894.5781275974,0.2537987542437746,1313000,20700,1060.1775078671053,1.118592235344725
