line,rest_vacuum_A,q16_1e-18_cgs,q50_1e-18_cgs,q84_1e-18_cgs
Ba-8 3798,3799.0277,4.583258710423982,5.557405557578065,6.63036373417781
Ba-7 3835,3836.528,5.338497693378747,6.339263884516506,7.242056095508323
[Ne III] 3869,3869.9172,0.14949244793113592,0.5132539736297806,1.1807976551304584
He I 3888.63A,3889.7926,0.35712423980723124,1.6725896966330822,3.9849193466661004
Ba-6 3889,3890.2127,4.161857248376511,6.504676577889267,8.205093938418626
[Ne III] 3968,3968.6543,0.04505498732101745,0.1546877557654553,0.3558763276463105
Ba-5 3970,3971.2551,10.09337063751334,11.099005205358125,12.245401640791345
[S II] 4070,4069.8122,5.496798848063957,6.690331902248564,8.078708645859006
[S II] 4078,4077.5644,0.09458517159447766,0.44301637902744206,0.9888513104247757
Ba-delta 4101.76A,4102.9514,1.1619249156261318,2.2487815559707065,3.6329790335307472
Ba-gamma 4341,4341.7476,4.63960143086738,6.086345783005704,7.996743821027012
[O III] 4363,4364.2938,6.536303127151576,8.109943621660175,9.846869495052363
He I 4471.49A,4472.814,0.11211055697229654,0.40903502887923526,1.1670817805741518
He II 4685.64A,4687.0237,0.09915790837924632,0.395878028058712,1.0831581062297442
[Ar IV] 4711,4712.6509,0.13765758101278486,0.608644077991852,1.4704544769007386
[Ne IV] 4720,4721.3933,1.4867214457364704,3.2950699838304995,5.179815992215686
[Ar IV] 4740,4741.519,4.1596009020609515,6.337056744461426,8.444216778022744
Ba-beta 4861,4862.7629,6.576563547307387,8.49795146203631,10.452307522277271
[O III] 4931,4932.6825,0.3997520896684778,1.4115657500443572,3.028752086096559
[O III] 4959,4960.3702,3.9823503252310455,4.806080857375546,5.882766321227194
[O III] 5007,5008.3137,11.986874478945447,14.466303380700396,17.707126626893853
[Ar III] 5192,5193.3456,0.16131633685609814,0.5749989147537083,1.6426415879118206
[N I] 5200,5201.788,2.430386509434571,4.313510987677245,6.855183138289932
