target,arm,quantity,ours,ours hw,Borghi,Borghi err,tension
M12_185653,dust_free,age [Gyr],4.8004699204687284,0.42021508786715733,3.109,0.4085,2.886228035550573
M12_185653,dust_free,[Z/H],-0.3204683681337779,0.08732574037007756,-0.014,0.043,-3.1484802654418558
M12_185653,dust_free,[a/Fe],0.20667996487090365,0.03788921259586091,-0.062,0.064,3.6125194662482216
M4_108989,dust_free,age [Gyr],4.5940699498083655,0.10033512434355663,4.028,0.6025,0.926772130946258
M4_108989,dust_free,[Z/H],-0.05920000334582065,0.029320923897340756,0.067,0.066,-1.7474404093955669
M4_108989,dust_free,[a/Fe],-0.1927739824316208,0.006823329220531887,0.06,0.047,-5.322373993492766
M12_185653,emis_wide,age [Gyr],4.283451941706291,1.0012468874190539,3.109,0.4085,1.0860747720316974
M12_185653,emis_wide,[Z/H],-0.18958197410455546,0.11154560047528128,-0.014,0.043,-1.4687308642148698
M12_185653,emis_wide,[a/Fe],0.17273443022256346,0.050968678773598536,-0.062,0.064,2.869063944247717
M4_108989,emis_wide,age [Gyr],3.031674617300064,0.08926984707449925,4.028,0.6025,-1.6357942030003572
M4_108989,emis_wide,[Z/H],0.18627224295853995,0.02157094328902931,0.067,0.066,1.7177385270535839
M4_108989,emis_wide,[a/Fe],-0.1921781882802961,0.007185705442037074,0.06,0.047,-5.3038637363333985
M12_185653,floor20,age [Gyr],5.002033966543495,0.42688356157565677,3.109,0.4085,3.203925041590834
M12_185653,floor20,[Z/H],-0.3289210369822271,0.09842896776684018,-0.014,0.043,-2.9319077466974335
M12_185653,floor20,[a/Fe],0.2302046443021316,0.037650951271866656,-0.062,0.064,3.9352263499931395
M4_108989,floor20,age [Gyr],4.641295407621559,0.09976336390565477,4.028,0.6025,1.0042438462868237
M4_108989,floor20,[Z/H],-0.03834859305372351,0.02650585483654533,0.067,0.066,-1.4812053516815358
M4_108989,floor20,[a/Fe],-0.1897595306796067,0.008458395831046892,0.06,0.047,-5.23001335614137
M12_185653,mask_cn,age [Gyr],5.176352631074879,0.3295019176922609,3.109,0.4085,3.939109822160828
M12_185653,mask_cn,[Z/H],-0.324082779405958,0.055031881749637135,-0.014,0.043,-4.439955859859113
M12_185653,mask_cn,[a/Fe],0.22743604209643287,0.030521702014600346,-0.062,0.064,4.082003401529422
M4_108989,mask_cn,age [Gyr],4.796036505352756,0.06742749335523213,4.028,0.6025,1.2668408068873178
M4_108989,mask_cn,[Z/H],-0.09790078297607718,0.02402378927741111,0.067,0.066,-2.34779887134011
M4_108989,mask_cn,[a/Fe],-0.17916550056680997,0.012110639086872724,0.06,0.047,-4.927669033655173
M12_185653,no_irac,age [Gyr],4.968123872374729,0.32116126815201707,3.109,0.4085,3.5777741864560975
M12_185653,no_irac,[Z/H],-0.3357115286175867,0.07201003605072365,-0.014,0.043,-3.8357623855105243
M12_185653,no_irac,[a/Fe],0.22158530859900108,0.03719409644141465,-0.062,0.064,3.8310444704298323
M4_108989,no_irac,age [Gyr],4.593484143445968,0.10410405992105032,4.028,0.6025,0.9248584718388697
M4_108989,no_irac,[Z/H],-0.031584946143177195,0.03467598790006132,0.067,0.066,-1.3223145058639547
M4_108989,no_irac,[a/Fe],-0.18914999384115286,0.00878263959402538,0.06,0.047,-5.2108667464906695
M12_185653,poly3_total,age [Gyr],5.017060957077964,0.37046651832292454,3.109,0.4085,3.459962586524707
M12_185653,poly3_total,[Z/H],-0.3332140550371381,0.07935060201943922,-0.014,0.043,-3.5368989344644635
M12_185653,poly3_total,[a/Fe],0.22825769126732556,0.03261768953107343,-0.062,0.064,4.04075499758495
M4_108989,poly3_total,age [Gyr],4.610027398704806,0.11556687472838201,4.028,0.6025,0.948725498072109
M4_108989,poly3_total,[Z/H],-0.030037321439764897,0.02940646994437013,0.067,0.066,-1.342989903337385
