arm,M12_185653,M12_98104,M1_206545,M4_108989,M5_172669,M5_173928,mean,vs ref
poly3_total,2.527720233580577,1.0203066758318846,2.2265839454160448,3.438826848606153,1.9171164400595124,2.8168852003409333,2.3245732239725174,0.0
seed_rep1,,,,3.451398653080299,1.9848476148017817,,2.7181231339410403,0.04015148960820758
seed_rep2,,,,3.4403568671191365,1.9794533169553694,,2.709905092037253,0.03193344770442019
seed_rep3,,,,3.43153480723344,1.9666020913041562,,2.699068449268798,0.02109680493596544
floor20,2.4239374190829026,1.2037102962608817,2.2128139974037855,3.4636166916821787,1.9439704382119558,2.738595915339436,2.331107459663523,0.006534235691005826
dust_free,2.402576640183217,1.2800844978019306,2.211369869641264,3.6010958755587104,1.8808970947927288,2.7564191042066697,2.3554071803640864,0.03083395639156916
no_irac,2.4934709045831607,1.2102766229893709,2.1633293186711584,3.399035543899231,1.9876912862434608,1.5365144819032956,2.1317196930482796,-0.19285353092423796
mask_cn,2.507606593564254,1.00645862916268,2.4950288204048086,3.708075578113166,2.2041919944411807,2.782932949778567,2.4507157609107764,0.12614253693825853
sfh_cont,2.3782343493109344,1.0045336489682777,2.2228188742689534,3.453933773504899,1.8405752864500946,2.7406182654545987,2.273452366326293,-0.05112085764622457
emis_wide,2.006773552327733,0.7608756320034851,2.075211018666612,4.075553760487744,1.5232500535078657,4.424029099065139,2.477615519343096,0.15304229537057898
