arm,M12_185653,M12_98104,M1_206545,M4_108989,M5_172669,M5_173928,mean,vs poly3_total,vs new_default
poly3_total,2.4567909755145743,1.0333749505298044,2.233842937743608,3.434778422509707,1.8924837116932276,2.8388272083268062,2.3150163677196214,0.0,0.0019055381607486395
seed_rep1,,,,3.4540427372209987,1.9811273027444516,,2.7175850199827254,0.05395395288125793,-0.03245808174022602
seed_rep2,,,,3.454694650911847,1.9781944127212185,,2.7164445318165327,0.05281346471506554,-0.03359856990641841
seed_rep3,,,,3.4260996091114926,2.0006909237552057,,2.7133952664333494,0.04976419933188192,-0.036647835289602027
sfh_cont,2.4008982737895326,0.9704599757372995,2.2335029759946345,3.424365095218986,1.8778689168354405,2.7310755596351046,2.273028466201833,-0.04198790151778833,-0.040082363357039685
dust_free,2.402576640183217,1.2800844978019306,2.211369869641264,3.6010958755587104,1.8808970947927288,2.7564191042066697,2.3554071803640864,0.040390812644465424,0.042296350805214065
new_default,2.446665715878241,1.1011394148337437,2.21840765831343,3.6148826924735347,1.8852035109723677,2.6123659848819187,2.3131108295588727,-0.0019055381607486395,0.0
new_default_rep1,,,,3.588945255576952,1.8963018000868863,,2.742623527831919,0.07899246073045185,-0.007419573891032094
new_default_rep2,,,,3.649632671226664,1.780438773805091,,2.7150357225158777,0.051404655414410305,-0.03500737920707364
tau_cn,2.3995360420364844,1.120119801832678,2.2252286963286134,3.600047847444086,1.8713715203743968,2.700416091185673,2.3194533332003218,0.004436965480700643,0.006342503641449282
dust_wide,2.4386502705743824,1.2368310760516414,2.2524830563874194,2.478141003185033,1.8475335998275453,1.5564863277118268,1.9683542222896413,-0.34666214542997986,-0.3447566072692312
