line,half_width_kms,n_pix,mean_pull,mean_pull_err,rms_pull
[O II] 3726,1500.0,5,-1.830375316367269,0.4472135954999579,0.6807963789293565
[O II] 3726,300.0,0,,,
[O II] 3729,1500.0,13,-1.3995719652462184,0.2773500981126146,1.1114556114785255
[O II] 3729,300.0,0,,,
H-beta,1500.0,134,0.04637822915063902,0.08638684255813601,0.532337975475041
H-beta,300.0,27,0.09499015299720266,0.19245008972987526,0.5274962770875573
[O III] 4959,1500.0,137,0.2969360601399923,0.0854357657716761,1.259801558026857
[O III] 4959,300.0,27,0.8507030313178328,0.19245008972987526,1.1826454851011452
[O III] 5007,1500.0,138,0.07941171511412005,0.08512565307587486,0.718430160416469
[O III] 5007,300.0,28,0.5731856885425597,0.1889822365046136,0.6773432515925194
