target,object_id,spect_id,z,catalogue_sn,seed,n_free,mask_match,sigma_match,eff_sigma_max_rel_diff,pull_recompute_max_abs_diff,n_phot,n_spec,phot_chi2_stored,spec_chi2_stored,joint_chi2_stored,phot_chi2_h5,spec_chi2_h5,chi2_h5_recompute_max_abs_diff,ndof_h5_match,phot_redchi2_stored,spec_redchi2_stored,joint_redchi2_stored,f_calib_median_pct,f_calib_upper_pct,calib_saturated,n_outlier_pixels,worst_band,worst_band_pull,pull_u*,pull_B,pull_V,pull_r+,pull_i+,pull_z+,pull_Y,pull_J,pull_H,pull_Ks,pull_3.6um,pull_4.5um,n_bad_pixels,n_emission_masked,n_telluric_masked,ess,lnZ,lnZ_err,t10_q16,t10_q50,t10_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,t90_q16,t90_q50,t90_q84,age_q16,age_q50,age_q84,universe_age_gyr,lnl_ml_stored,lnl_ml_recomputed,lnl_ml_diff,phot_chi2_ml,spec_chi2_ml,f_calib_ml_pct,ml_ndof_match,block_matches_stored,flags
101089-M12_101089,101089,M12_101089,0.8510000109672546,8.300000190734863,20260995,13,True,True,2.054275421937963e-05,0.0,12,3430,17.817332626003054,8026.726627042459,8044.543959668462,17.817332626003054,8026.726627042461,1.8189894035458565e-12,True,1.4847777188335878,2.340153535580892,2.3460320675615227,9.994335068463583,10.000000000000002,True,57,V,2.265798202514275,-0.25468980401943203,0.9865871360196855,2.265798202514275,1.707395036408607,-0.8371874842276752,-0.1855936764476244,-1.870629023145562,-0.7677163899587547,-1.0803889080494362,0.2964433075379285,1.007805930841735,1.2787929200272103,2115,504,117,4016.6607625207976,223073.35289941987,0.2072820799108717,5.987935358584666,6.253590170131702,6.286006285861949,5.468028953522265,5.999338576616337,6.064170808076831,3.852532837513883,5.236583796070239,5.398664374721476,1.7510351543272056,1.9575799520432458,2.2096289035833605,1.043850014458858,1.1418259411442748,1.2648960062533303,3.7065104656158283,4.245258472991083,4.479446400502631,6.507841763647067,223109.31872198495,223111.2892855275,1.9705635425634682,15.327819086710333,8022.585741233109,9.99794119583434,True,,spectrum chi2/N 2.34 > 1.5; calibration floor at prior bound (10.0% of 10%); 57 pixels with |pull| > 4
101830-M12_101830,101830,M12_101830,0.9873830080032349,11.300000190734863,20260983,13,True,True,3.732134345848633e-05,0.0,12,3814,83.38592853444682,5861.199761643771,5944.585690178218,83.38592853444682,5861.19976164377,9.094947017729282e-13,True,6.948827377870568,1.536759245318241,1.5590311277676943,9.982775505629926,10.000000000000002,True,24,4.5um,4.592392292382151,-2.389588679110215,-2.865504484421011,2.316501270916092,2.2724637026770744,-0.07038556901220003,1.8602957411369847,-1.3849891431864783,-2.784605188173843,-3.3967322064004075,-0.7973747877973997,3.5401794524892565,4.592392292382151,2102,133,117,3532.0626821444966,246074.02355467892,0.193801084668464,4.616912379529804,4.832894498654867,5.42830160832386,4.216854441512173,4.4412118251045385,4.967592574470805,3.0149309104184363,3.2249136179474256,3.6791552319693284,1.8028961366578882,1.899470448321106,2.2032538048180945,1.3988845790352031,1.4479506012661179,1.5903102064691184,3.0106363363295534,3.201158900066078,3.578784534662829,5.902885452528986,246109.88968079758,246109.43971928072,-0.4499615168606397,83.84211737041335,5857.391068566514,9.996010994343054,True,,photometry chi2/N 6.9 > 3; spectrum chi2/N 1.54 > 1.5; calibration floor at prior bound (10.0% of 10%); 24 pixels with |pull| > 4
102456-M12_102456,102456,M12_102456,0.6779490113258362,34.900001525878906,20260863,13,True,True,0.0003498149226911157,0.0,12,3463,170.6266904701109,4123.968383961159,4294.5950744312695,170.6266904701109,4123.968383961159,0.0,True,14.218890872509242,1.1908658342365461,1.240495399893492,5.896951429100811,10.000000000000002,False,10,4.5um,7.870790622923234,-0.16293372663810243,-2.1146026123314776,-1.0204682113593726,-3.3042795639852462,-3.4361528606644165,-0.32699048979540213,-1.889074504466214,-0.25252515715048174,1.616289285502678,4.0300829921439245,7.6038959978953065,7.870790622923234,2178,408,117,4112.025985046223,225476.6496177645,0.29642470418936584,5.193098643437413,5.99562314683542,6.340734921560914,4.624386361405566,4.87068069682905,5.256476805434538,3.3684446293876604,3.607075960289382,3.7845043253584087,1.970456934325805,2.1150863782139173,2.2363686610932256,1.484569937715113,1.5557804660055405,1.6140551241044885,3.424516067625048,3.6635454369836538,3.8447373899663644,7.4249930376872895,225511.8230495785,225505.25954341507,-6.563506163423881,171.60162249786717,4162.230667520181,5.870276244771176,True,,photometry chi2/N 14.2 > 3; 10 pixels with |pull| > 4
102968-M14_102968,102968,M14_102968,0.9393450021743774,9.5,20260991,13,True,True,0.00028777505935989654,0.0,12,3813,149.95720059281848,4188.963864034374,4338.921064627192,149.95720059281848,4188.963864034374,0.0,True,12.496433382734873,1.098600541315073,1.1382269319588647,5.927012116110486,10.000000000000002,False,1,B,-7.552200352717238,-4.536006351390771,-7.552200352717238,0.5430552457166828,4.221630246106978,4.156322660062128,4.523238441775043,1.5084870421304084,-0.8386036507950443,-2.6721794391886027,-2.0853195746820554,0.6403485112925675,1.2713794381868782,2108,130,115,3569.7981184766363,250394.66352109233,0.2594267196196777,4.7037095926546355,5.160132540438788,5.543272747961159,4.308307765116708,4.690693476544469,4.987393497362301,3.0994145719939845,3.5595111678311646,3.8986623001621115,1.8361106872784225,2.114559222446198,2.610245336661226,1.4135599987032228,1.5487100438930053,1.7945425554319605,3.0855169507611215,3.4782783307990073,3.7960209520686488,6.105564853386012,250431.91431746614,250430.170983442,-1.7433340241550468,150.94375960002628,4193.467261954291,5.919766644794692,True,,photometry chi2/N 12.5 > 3; 1 pixels with |pull| > 4
103366-M14_103366,103366,M14_103366,0.674206018447876,14.300000190734863,20260963,13,True,True,0.00010721844164037098,0.0,12,3547,35.03426702482184,4019.2671629250863,4054.301429949908,35.03426702482184,4019.2671629250867,4.547473508864641e-13,True,2.9195222520684863,1.1331455209825447,1.1433450169063475,5.252347738967954,10.000000000000002,False,3,4.5um,3.867214367266872,-1.1801125016516576,-1.6738399447825127,1.9692596599930576,1.0300799585873102,-2.0964888880298207,-0.08688142266225425,-1.768461346901291,-0.8138352940059022,-0.1671824342129753,0.5470946822983184,1.5574357249545965,3.867214367266872,2099,403,117,3625.792605800937,234345.6710516234,0.27699189331248153,4.523539859305393,6.3233915943547405,6.941740190874355,4.0195251186891054,5.199801867340654,6.436499060379882,2.6406510275890795,3.429411549154824,4.848188776186615,1.5300123579147071,1.7781081077043943,2.189840394352053,1.1496341213700687,1.2401396867650174,1.408898033701869,2.743429547094485,3.565724553948302,4.384953327278414,7.446981321368827,234381.23709295227,234380.81402389336,-0.4230690589174628,35.16822553766327,3994.4934570620608,5.306619546276111,True,,3 pixels with |pull| > 4
104877-M14_104877,104877,M14_104877,0.9544000029563904,3.5999999046325684,20261016,13,True,True,1.2568668022562953e-05,0.0,12,3800,88.62946149393049,6748.631687541396,6837.2611490353265,88.62946149393049,6748.631687541396,0.0,True,7.385788457827541,1.7759557072477357,1.7997528689221707,9.971184092304467,10.000000000000002,True,19,V,-5.992717474223177,2.7262814065877907,-2.106179010514516,-5.992717474223177,-2.586559192138809,-1.6926911636900852,3.2422071040250966,2.71070143882376,3.2955730795116507,1.0104533189948288,0.38889828407704524,0.5856260249049161,1.0280466240665402,2118,131,117,3830.871900469688,244874.71130826895,0.2610220749102852,0.09036377942117163,0.2694590192589408,2.905723103129463,0.07881639420489367,0.0994451752334786,0.7789638826231805,0.041528302676390016,0.05434453531126365,0.13277110422050858,0.014293954755903672,0.018439433157005306,0.023492833985679137,0.007146977377951836,0.009219716578502653,0.011746416992839568,0.052082662664369346,0.1727352186173659,0.7237462165314746,6.040887866302327,244907.53796359085,244907.44070610558,-0.09725748526398093,88.63399429016143,6740.904700925377,9.999636722996014,True,,photometry chi2/N 7.4 > 3; spectrum chi2/N 1.78 > 1.5; calibration floor at prior bound (10.0% of 10%); 19 pixels with |pull| > 4
105474-M4_105474,105474,M4_105474,0.6732000112533569,37.29999923706055,20260850,13,True,True,0.00018381608629155984,0.0,12,3389,156.44831769556438,3712.2115857222907,3868.6599034178553,156.44831769556438,3712.211585722291,4.547473508864641e-13,True,13.037359807963698,1.095370783630065,1.1418712820005477,5.845476487519688,10.000000000000002,False,3,u*,6.857330128971073,6.857330128971073,2.0008339351881683,3.146705503343515,0.18207413647661114,-2.983058041547764,-0.9536632768804282,-3.0745716152662013,-2.926664062884916,-2.715244379251046,-1.0237539681537087,4.054207417560651,6.542431822759705,2162,498,117,3237.2873158272687,220833.57971190367,0.25079908267075846,2.4031519324705313,2.4577201848281387,2.7579970385474124,1.7741620074916111,1.8763476511452801,2.0884790121676113,0.7742133675320271,0.7988424463244921,0.8312217433252632,0.39222115963804427,0.40457754980108507,0.41876278295883695,0.256344793479627,0.2662950811768776,0.2763600234631338,1.0456275956299388,1.0907153555725246,1.3240565023523598,7.452908070654054,220868.86131630064,220864.787314221,-4.074002079636557,158.21093885930577,3723.70089295493,5.83743313101164,True,,photometry chi2/N 13.0 > 3; 3 pixels with |pull| > 4
107362-M3_107362,107362,M3_107362,0.6766999959945679,23.700000762939453,20260915,13,True,True,0.000422017088504786,0.0,12,3484,167.7824662812589,4025.390567167061,4193.17303344832,167.7824662812589,4025.390567167061,0.0,True,13.981872190104909,1.1553933889687316,1.2038969375389952,4.335100028429414,10.000000000000002,False,3,4.5um,8.32251760260165,-2.5120478760813016,-2.989586583186647,0.44163136078683923,-1.62473005248167,-2.9576568849263998,-0.5012208637369449,-2.139396426428768,-0.4507079239783656,0.48082297831632453,2.1352071780156128,7.865491518551505,8.32251760260165,2186,379,117,3522.299806977896,227187.8046770948,0.2297456234338409,4.601186974428386,4.6215967231731065,4.710074889336101,4.197162160222313,4.2150572271733076,4.298940683189211,2.980545641997283,2.999310800629493,3.055788770358571,1.77484298070824,1.7878395334465655,1.808886566106531,1.3714984257347311,1.3836263228615544,1.3943985200112488,2.985550817705217,3.00325520558561,3.0866915852722205,7.432319376216506,227224.82789838163,227223.73769681968,-1.09020156195038,172.44631357060064,4011.048142587964,4.348190628548843,True,,photometry chi2/N 14.0 > 3; 3 pixels with |pull| > 4
107370-M4_107370,107370,M4_107370,0.8435999751091003,17.799999237060547,20260947,13,True,True,0.001052034718149805,0.0,12,3388,48.02006025087184,3825.5479397482713,3873.567999999143,48.02006025087184,3825.5479397482713,0.0,True,4.001671687572654,1.1291463812716267,1.143657514023957,6.022279694630097,10.000000000000002,False,8,4.5um,3.814914171588637,0.08304331814924536,-0.46515221499701465,1.8019617850124625,0.008181825618005515,-1.6444540742133547,0.05729286193117082,-2.2554469927821126,-2.065654706436074,-1.485334858588516,1.123736957768279,3.8033679221807346,3.814914171588637,2110,552,116,3528.5735259644207,221803.83635594262,0.18540458262357307,4.572169401808746,4.59891851261369,4.669977570115756,4.135011053280248,4.174511257228604,4.238119535991295,2.8410691926966214,2.906054759050204,2.9815534631274576,1.6791594193828163,1.720076260569921,1.7703536660859254,1.2919009998006676,1.3250530888469025,1.3630118006160101,2.892559690695799,2.9436862168811837,3.0015007516269705,6.54339827477878,221835.5342953375,221833.31555268617,-2.2187426513410173,47.559280095752484,3819.054643825835,6.032375898388264,True,,photometry chi2/N 4.0 > 3; 8 pixels with |pull| > 4
107643-M4_107643,107643,M4_107643,0.7343000173568726,21.0,20260928,13,True,True,0.00039214986129820165,0.0,12,3496,16.78769060707924,3837.232778093577,3854.0204687006562,16.78769060707924,3837.232778093577,0.0,True,1.3989742172566035,1.0976066298894671,1.1027240253793007,6.389112791962778,10.000000000000002,False,8,V,1.9237187062215275,-1.1045775028474711,-1.1177401958163147,1.9237187062215275,0.22011771388627582,-1.6528229937464571,1.0652090359544972,-1.0515431962184767,-0.39230247314065725,-0.6433488161241918,0.6650554433959387,1.3844900896941994,1.6340020868908538,2150,403,117,4096.782954622876,227899.25537623648,0.3216277288562843,4.573181038328702,4.600516046935365,4.671068926452217,4.13268414809017,4.182036132275396,4.235413648295983,2.812221864663909,2.9004466229963533,2.9791188486550695,1.6458764181061547,1.7084261518706318,1.75787154958201,1.2532771746710794,1.3083612459857468,1.3498308419101017,2.8766908915950427,2.9383943341647973,2.9954619585035127,7.1056047320109625,227935.57923571556,227934.2451869216,-1.3340487939713057,16.31750426715576,3873.0555440500925,6.3377459483822705,True,,8 pixels with |pull| > 4
