target,arm,z,sn,sigma_cat,sigma_cat_err,n_pix,spec_chi2_stored,spec_chi2_raw,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,log_sfr_q50,log_sfr_hw,dv_q50,dv_hw,sigma_q50,sigma_hw,dv_scan,sigma_pull
M12_185653,poly3_total,0.6776310205459595,21.5,173.8000030517578,10.199999809265137,3577,3968.989243867257,9844.152022687755,11.112189986939814,233871.32484720365,0.2611125135923976,3448.425601404076,True,981500,306.4762258916162,11.100473969475106,0.03469868736242887,-2.1809257106540816,0.07935060201943922,0.22825769126732556,0.03261768953107343,0.17171141472104495,0.029013996854259844,5.017060957077964,0.37046651832292454,6.316725807299052,0.12624781010875052,0.9800314633714657,0.024156740318829584,5.05572166747319,0.454289384805282,-1.3611082428177275,1.4452010142339051,,,,,,
M12_185653,zsig,0.6776310205459595,21.5,173.8000030517578,10.199999809265137,3577,3949.36054141524,9777.784698491781,10.760322556984445,233878.77073985108,0.33983698726777306,3999.0021958043644,True,1131000,1144.048947214149,11.127085519035472,0.01880116850208946,-2.273406440964274,0.04320320981006609,0.2349653932858935,0.03210050900204592,0.21004178296100237,0.027727396192016557,5.200018142016356,0.1979825025344324,6.308736915423542,0.13726918357738027,0.999778697863775,0.02137005296291533,5.216209538526908,0.26632606220895116,-0.729887665605238,1.3469988080462951,12.31794289708875,6.041469483652552,144.19724425211058,5.396994977176547,0.0,-2.90223130913764
M12_98104,poly3_total,0.9814170002937317,6.599999904632568,223.5,22.299999237060547,3804,5917.863306540227,8655.031075723458,10.089553467793827,249681.23165207586,0.18853194441269666,4033.206449993014,True,1020500,307.66967546986416,11.24842597909763,0.026383239511360124,-2.4735868262355423,0.07453788481436852,0.1395094770247161,0.054616308606191176,0.36251731516684094,0.03540081111300383,4.403359607650275,0.2666274287466961,9.977882746658953,0.024186968949860166,0.9703163829063787,0.027351947340908234,4.442128506696827,0.4200785914030791,-0.7946086168144317,1.460928296579994,,,,,,
M1_206545,poly3_total,0.7282999753952026,31.399999618530273,210.0,8.0,3422,4302.297073144692,8661.358156317707,64.63851193571105,222935.2292907058,0.22050999962631557,3548.4584069101224,True,1254500,371.4692131220363,11.637602282728874,0.009219682937620988,-1.8513931588842134,0.022731620291620125,-0.19326619827093727,0.005927738740977212,0.4571688733172671,0.02129749843703682,5.064945813679464,0.014539541936547717,3.9484314168913004,0.1038052736473225,1.1618166532533682,0.030878002422987882,5.07147280043054,0.02465681596363911,1.2729117495565845,0.04072368010829297,,,,,,
M1_206545,zsig,0.7282999753952026,31.399999618530273,210.0,8.0,3422,4269.539658762442,8590.620333003455,54.13086118375701,222967.90929133518,0.1928317918007978,3884.6670732522316,True,1391000,1348.9113157996908,11.633420795391213,0.010194537816023974,-1.8536073368366819,0.022253389139306967,-0.19612289928755083,0.004556638844160771,0.43350114171690934,0.023581299135162076,5.064080055419571,0.011915716746820237,3.9162491957868957,0.10952693474956732,1.1441515228522317,0.030294413856504776,5.067968774454524,0.019120382798916147,1.2215356458732662,0.04290960677957967,-19.607660059941153,4.438724154950224,241.31006524234317,4.866763889777886,-21.0,3.9137581552928964
M4_108989,poly3_total,0.8277999758720398,21.299999237060547,310.29998779296875,12.100000381469727,3735,4263.884819292674,8640.260236562719,12.848910470817662,243350.27440873886,0.3141965732330557,3812.7493563721246,True,1196000,354.68694001901895,11.810962892708234,0.01554065330028287,-1.8777489770567084,0.02940646994437013,-0.18982788658959052,0.010404351293834227,0.25291412125202506,0.027823874939279722,4.610027398704806,0.11556687472838201,4.387228223507806,0.11204203672216417,0.8229659261009723,0.02453686708977043,4.635231308108844,0.11155364946578494,0.599431092539237,0.5698310731642576,,,,,,
M5_172669,poly3_total,0.6036999821662903,105.0,223.8000030517578,6.099999904632568,3602,4155.578523095639,29012.499929716898,100.10064818802765,233013.76250415418,0.34171838631125634,3455.4495339844248,True,1228500,404.4830888560973,11.329481485809989,0.01087432222300233,-1.5889643781558052,0.02992674033288123,-0.04950871926475742,0.014147024591641355,0.5768895939861884,0.01919923564516507,1.8455087272161208,0.09942950490765345,2.662188154335152,0.035404941673904844,1.3050942642084478,0.025163652527688596,1.768262664092042,0.06754341288135024,1.7630241934855413,0.0528805222555343,,,,,,
M5_172669,zsig,0.6036999821662903,105.0,223.8000030517578,6.099999904632568,3602,4194.95546902016,28946.5812091675,101.2458214675352,233018.1612364962,0.28370047093100925,4081.264497594638,True,1365000,1510.907803204842,11.32985644795513,0.016175370596755556,-1.5499996035220438,0.027776238723929203,-0.058308915017268634,0.013878694987681205,0.5711838423942917,0.01986172554191351,1.7977948658121186,0.13357499611800405,2.6402061752343218,0.037060439844281534,1.303669492131482,0.02345618320568854,1.7448937110692657,0.08772945790530928,1.7604334356839813,0.045836390734011134,18.310223513760064,3.155582182367846,231.53868672754982,3.8758524073560636,52.0,1.268636687996496
M5_173928,poly3_total,0.9589999914169312,13.300000190734863,179.6999969482422,13.300000190734863,3836,3710.210659205431,14696.941103978697,48.1923182935704,250191.49642664279,0.22200934328263935,3523.555776362627,True,1137500,354.2635971447453,11.716238893947974,0.011697759721585044,-2.233390442680137,0.017680310554176737,-0.14128820916626028,0.024238434194752308,0.5411933394541439,0.019303020848714547,4.4989311255209135,0.10534223381816865,9.011326880011909,0.1490673541882277,1.3602590717429761,0.030928868290515554,4.513090341384006,0.22781259009302124,-0.08203542147446086,0.7763597471332832,,,,,,
M5_173928,zsig,0.9589999914169312,13.300000190734863,179.6999969482422,13.300000190734863,3836,3707.121857078991,14162.39221457179,36.36419122760135,250264.8093433003,0.24744463679516657,4084.5593667631633,True,1410500,1410.986246383749,11.710693672790715,0.009824263407113953,-2.2293185760411607,0.01970377277754265,-0.14404251242535168,0.028075023792712074,0.4714660976777856,0.019143261224406433,4.4998918093309905,0.0385622112024393,8.718874738043295,0.1547453896102322,1.3164815881422443,0.03184808036815767,4.51024348180249,0.05616976528987028,0.07803983535337537,0.8417597055556334,7.802520191649171,9.363854835085471,267.7542314439289,1.8051364632645175,0.0,6.620619040067959
