band,wavelength,pull_median,pull_q16,pull_q84,chi2_mean,frac_abs_pull_gt2
u*,3813.2410394640983,-3.0623885406966282,-4.631230217683496,-1.4935468637097606,14.70102679099575,0.5
B,4427.21459053974,-1.283366921982611,-2.4697039393240154,-0.09702990464120631,4.6907060861850125,0.5
V,5454.852171936471,4.678719742920465,4.611873700354927,4.7455657854860025,21.900081913344504,1.0
r+,6248.964621623838,2.4273502594894785,2.3680775692436415,2.486622949735316,5.899627145152331,1.0
i+,7645.870635187956,-0.7409006800947893,-0.8342602912690927,-0.6475410689204858,0.5677833354954946,0.0
z+,9010.843115428119,1.0212980705642785,1.0019683530787349,1.040627788049822,1.043857789548333,0.0
Y,10204.727844482526,-1.104889228880185,-1.1571419188755578,-1.0526365388848122,1.2266849304392053,0.0
J,12504.930393594042,-1.169465030318528,-1.240747968686122,-1.0981820919509342,1.378637335386874,0.0
H,16388.52182332213,-2.291909442557581,-2.415118298954404,-2.1687005861607576,5.285678525874681,1.0
Ks,21452.79070554286,-1.9301670952991907,-2.135511653083687,-1.7248225375146948,3.81673529997059,0.5
3.6um,35378.51452136207,2.0734330422059113,1.155939380471025,2.9909267039407976,6.119614674204362,0.5
4.5um,44780.544053692414,3.1755484046678166,2.1290473071626295,4.222049502173004,12.452543109574217,0.5
