arm,target,photometry,floor,fit,order,dust_law,free_index,dust_prior,n_pix,lnZ,lnZ_err,calls,wall_s,ess,phot_chi2,n_bands,drop_bands,chi_u,chi_B,chi_V,chi_r,chi_i,chi_z,chi_Y,chi_J,chi_H,chi_Ks,chi_ch1,chi_ch2,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,mass_weighted_age_gyr_q50,mass_weighted_age_gyr_hw,spectrum_scaling_q50,spectrum_scaling_hw,f_calib_percent_q50,f_calib_percent_hw,tau_dust_q50,tau_dust_hw,tau_param,poly_min,poly_max,poly_tilt_pct,diffuse_dust_index_q50,diffuse_dust_index_hw
M4_108989_ap3_calzetti,M4_108989,cosmos_ap3,0.05,both,0,calzetti,False,,3735,243110.34482898036,0.20702480336062284,1293500,163.7410299249459,3450.737431621963,80.75431418039499,12,,-2.64,-1.04,3.31,2.33,1.14,1.63,-1.16,-2.17,-3.41,-2.36,4.26,3.33,11.742235065183571,0.015047330636420497,-1.8200322088384029,0.0197542560487991,-0.11874360858580842,0.011600889964619464,4.543911161935057,0.08510860616753924,1.5588792721773932,0.02813013269686304,4.6715078469379385,0.11008965505935775,0.6377409497469017,0.023575410806837782,diffuse_tau_cal00,,,,,
M4_108989_ap3_floor02_baseline,M4_108989,cosmos_ap3,0.02,both,0,kriek_conroy,False,,3735,242832.16536096027,0.2575680801758147,1280500,167.4961244740989,3463.9043432451717,686.4175142304764,12,,-3.87,-6.2,3.9,3.71,1.14,2.28,-4.77,-6.45,-7.34,-2.22,15.68,15.12,11.656602235772427,0.010575813096291853,-1.812188883743264,0.016049322329188986,-0.07929548127821531,0.011315361837891794,4.643768028970985,0.09930773104083235,1.512004242577196,0.015007507853226798,4.63073251302497,0.10333585121633426,0.36747834724732054,0.011005941084739512,diffuse_tau_kc,,,,,
M4_108989_ap3_floor02_poly3,M4_108989,cosmos_ap3,0.02,both,3,kriek_conroy,False,,3735,243072.80764643932,0.29499664010527604,1345500,266.22399777080864,3387.893710283068,610.3860657211324,12,,-3.23,-6.86,5.7,8.27,5.18,4.46,-3.3,-5.24,-8.89,-6.96,11.12,10.76,11.558651613499013,0.006846558505200662,-1.4578232947269263,0.02355556490906152,-0.17973476058736831,0.011004589259411501,3.0085089321004146,0.028053382771814128,1.6951492245596955,0.02600716555888416,4.260984616100323,0.10696879305064666,0.4969081722836828,0.014596751438529287,diffuse_tau_kc,0.8874440207650041,1.1359565326882048,-17.471139046100813,,
M4_108989_ap3_floor05_baseline,M4_108989,cosmos_ap3,0.05,both,0,kriek_conroy,False,,3735,243099.42504340468,0.19184143065798567,1300000,167.7191756530665,3771.2518687703405,138.2557195946742,12,,-2.95,-3.49,2.54,1.61,0.23,0.75,-1.98,-2.41,-2.45,-0.3,6.9,6.65,11.641186793901936,0.013250354758753247,-1.815502453823427,0.018717338878182943,-0.10601834958701911,0.009858656834223045,4.650455201329425,0.09490757048673215,1.4890723230431622,0.028108867042235586,4.623561179559426,0.11935271577701823,0.33279600162653156,0.014296399922039432,diffuse_tau_kc,,,,,
M4_108989_ap3_floor05_poly3,M4_108989,cosmos_ap3,0.05,both,3,kriek_conroy,False,,3735,243306.65160399856,0.2623973114118306,1313000,264.8180514751002,3643.215736090474,156.68123988142318,12,,-2.04,-4.8,4.56,5.46,3.45,2.68,-0.69,-1.94,-4.18,-3.86,3.52,3.28,11.59149311132633,0.013071372014604954,-1.4018218293578104,0.028904177138344256,-0.16688552811261176,0.012181172083313402,3.021681718420678,0.06382451710801229,1.8228852420673278,0.04637254220902354,4.227566546046388,0.10907804449187308,0.57680150848501,0.021461931995327865,diffuse_tau_kc,0.8688299348539588,1.1460089528825417,-20.167465050214673,,
M4_108989_ap3_floor15_baseline,M4_108989,cosmos_ap3,0.15,both,0,kriek_conroy,False,,3735,243187.52923781745,0.2556015670754644,1553500,203.4965429569129,4440.677631676027,125.72809525960413,12,,-6.41,-5.37,1.69,2.34,2.28,2.42,1.85,1.84,1.62,1.84,3.45,3.41,11.365959903047843,0.029518045185183084,-1.4061980705639667,0.035567390590503734,-0.07573598307751703,0.011787679796225081,3.0902588316709245,0.1812190969748153,2.2344748627929487,0.10226648930312177,4.5280658190134995,0.1000884569881646,0.36060807235512116,0.014833916613212067,diffuse_tau_kc,,,,,
M4_108989_ap3_floor15_poly3,M4_108989,cosmos_ap3,0.15,both,3,kriek_conroy,False,,3735,243363.30877606117,0.39582330411760147,1430000,287.5185374808498,3768.018118421816,27.29737137480466,12,,-1.75,-2.75,1.79,2.07,1.41,1.11,0.01,-0.47,-1.33,-1.37,1.06,0.98,11.60949532466826,0.028599018374860563,-1.3383264339592322,0.03001057453598055,-0.1533320815683864,0.012141990603523445,3.039042263520849,0.09456632269358711,1.9012779963986155,0.08190883002230376,4.212734745351334,0.10242973583949189,0.6129650145412064,0.02837463235868265,diffuse_tau_kc,0.8658730921932529,1.1360303929553002,-20.153583164791566,,
M4_108989_ap3_freeindex,M4_108989,cosmos_ap3,0.05,both,0,kriek_conroy,True,,3735,243113.93022660873,0.28267559560048283,1326000,261.8431707210839,3757.846167807526,72.39119234019664,12,,-2.88,-1.25,3.3,2.51,1.46,1.96,-0.79,-1.87,-3.46,-2.83,3.3,2.09,11.77313482708503,0.023665916050483737,-1.7999531381035876,0.02128762788255134,-0.12104455318379087,0.01123282534161485,4.4859526943418855,0.1055732847665567,1.590490519429346,0.03345296516842511,4.673311004709642,0.1094749666880741,0.7446069702644926,0.06586481049115173,diffuse_tau_kc,,,,0.13961523923230484,0.07483657759591299
M4_108989_cosmos_total_baseline,M4_108989,cosmos_total,0.05,both,0,kriek_conroy,False,,3735,243158.88261793854,0.2693577734300476,1319500,171.17839070013724,3802.0502333166946,68.24447529964331,12,,-5.37,-3.7,1.55,2.99,2.41,1.17,0.23,0.33,0.77,1.43,-1.51,-1.44,11.798309690285333,0.015768614980951057,-1.6756358717786464,0.02588403444322218,-0.10481108821702509,0.010991367755440858,4.184951096769998,0.12735288758333674,0.9169462684527356,0.019988651766005783,4.545597290137063,0.11445065512981767,0.30566482052581445,0.015878815264525892,diffuse_tau_kc,,,,,
M4_108989_cosmos_total_poly1_dustprior,M4_108989,cosmos_total,0.05,both,1,kriek_conroy,False,"[0.43132, 0.11944]",3735,243200.32713210964,0.29348876818459585,1222000,179.80442867893726,3486.700041103792,171.7431043095572,12,,-3.97,-4.01,3.57,6.19,5.35,3.46,2.09,1.59,0.59,-0.17,-4.56,-4.49,11.761944535239358,0.010395038780893984,-1.3565461619678698,0.019548956627163383,-0.09744256925153241,0.010650371085538499,3.0107804616560463,0.03793361978063192,1.118202959760205,0.025428516318660388,4.430770496090453,0.11126489686190588,0.48489477123017966,0.01764487450337307,diffuse_tau_kc,0.9304832872425672,1.0695167127574328,-11.951771139382938,,
M4_108989_cosmos_total_poly3,M4_108989,cosmos_total,0.05,both,3,kriek_conroy,False,,3735,243342.2656863186,0.2984513891004294,1202500,241.12241403898224,3695.1789479782274,12.268355564765594,12,,-2.16,-0.32,0.11,0.66,0.4,-0.42,-1.14,-0.65,0.79,2.09,0.01,0.01,11.80382041398314,0.015657796493584897,-1.8560866229842827,0.0288733297930579,-0.1868274147665768,0.009428451409664335,4.555906985549761,0.10375998796080577,0.8240074170230804,0.019889564654237968,4.313061967126476,0.09840375106865373,0.24600541363706002,0.024901588895963722,diffuse_tau_kc,0.9563497078504908,1.0364735714757178,0.42019000050510513,,
M4_108989_photonly_ap3,M4_108989,cosmos_ap3,0.05,photometry,0,kriek_conroy,False,,3735,204.674846634555,0.13686974505870417,663000,31.37700412911363,2999.4677940694937,68.6417359410723,12,,4.02,-2.33,0.41,1.15,-1.38,3.24,1.28,0.41,-2.65,-3.43,2.83,2.15,10.857646629927252,0.07661780250390304,-1.3290211584865386,0.135328704575716,0.22522893273358147,0.2520380343796182,0.2327680678363182,0.29536226045125513,,,,,1.3844171415971225,0.0666672813089012,diffuse_tau_kc,,,,,
M4_108989_photonly_cosmos_total,M4_108989,cosmos_total,0.05,photometry,0,kriek_conroy,False,,3735,232.55471049873552,0.14850312868880336,565500,27.27040970302187,2703.9024126726304,5.642838615419038,12,,0.29,0.07,0.4,0.45,-0.48,0.15,-0.58,-0.99,0.16,1.84,0.07,-0.44,11.809198421417115,0.10209533810375593,-2.3513553850942066,0.2947106581622414,0.2283379544110688,0.23801022182081893,4.639973105925737,1.242338246039097,,,,,0.43132355546611023,0.11943891310997146,diffuse_tau_kc,,,,,
M4_108989_speconly,M4_108989,cosmos_ap3,0.05,spectrum,0,kriek_conroy,False,,3735,243030.35605676647,0.2894074859574189,1183000,147.3894962379709,3233.9549861273786,3826.2591213344185,12,,-32.64,-46.49,-10.1,-6.72,-6.97,-6.07,-9.27,-9.1,-10.44,-9.47,0.28,0.06,11.674844929509897,0.09165390779215254,-1.3167983784473694,0.02716882206898752,-0.06760640450573885,0.011890798660263373,3.0035176788846236,0.03798458072488886,1.0854817588529384,0.22182474171377742,4.548520819489554,0.10162784810619829,0.33934034144202363,0.013551460789457515,diffuse_tau_kc,,,,,
M4_108989_total_allbands_baseline,M4_108989,cosmos_total,0.05,both,0,kriek_conroy,False,,3735,243158.74425827657,0.3450616322903177,1326000,253.9522361708805,3783.3555265270256,67.00018840219458,12,,-5.28,-3.65,1.56,3.02,2.44,1.18,0.23,0.38,0.81,1.49,-1.44,-1.36,11.796596225400489,0.013945954376204384,-1.6731309218784358,0.02496235782151801,-0.10485698740281914,0.0108428609419935,4.180652736920493,0.11527240190795673,0.9177349365668648,0.020161794242903652,4.538542855366133,0.11023923937544566,0.3039955169847547,0.015772193505382226,diffuse_tau_kc,,,,,
M4_108989_total_allbands_poly3,M4_108989,cosmos_total,0.05,both,3,kriek_conroy,False,,3735,243342.2656863186,0.26144529729997945,1202500,349.10167506569996,3695.1789479782274,12.268356109383665,12,,-2.16,-0.32,0.11,0.66,0.4,-0.42,-1.14,-0.65,0.79,2.09,0.01,0.01,11.80382041398314,0.015657796493584897,-1.8560866229842827,0.0288733297930579,-0.1868274147665768,0.009428451409664335,4.555906985549761,0.10375998796080577,0.8240074170230804,0.019889564654237968,4.313061967126476,0.09840375106865373,0.24600541363706002,0.024901588895963722,diffuse_tau_kc,0.9563497078504908,1.0364735714757178,0.42019000050510513,,
M4_108989_total_noirac_baseline,M4_108989,cosmos_total,0.05,both,0,kriek_conroy,False,,3735,243124.04617623537,0.3053040333061416,1300000,247.5467202346772,3767.4637624611173,54.02990705833048,10,ch1 ch2,-5.11,-3.63,1.33,2.68,2.03,0.83,-0.33,-0.18,0.21,0.9,,,11.815978138949248,0.023884234062426124,-1.690829857469766,0.046131498376916436,-0.10461366446783887,0.010856924232096526,4.2480077245698755,0.17698640799080279,0.8998214049399647,0.020663118713466266,4.552895905095696,0.1142943992743608,0.31601890336687616,0.017594865633469153,diffuse_tau_kc,,,,,
M4_108989_total_noirac_nou_baseline,M4_108989,cosmos_total,0.05,both,0,kriek_conroy,False,,3735,243124.04711857467,0.16350262427373313,1267500,248.56935342494398,3512.6667651287416,70.44263309547543,9,ch1 ch2 u,,-7.32,0.68,2.72,2.4,1.16,0.31,0.41,0.64,1.08,,,11.796694602889577,0.018079962422036466,-1.616391762686452,0.02596094638857538,-0.09399516023289971,0.010574188766011544,4.051276279827441,0.14028914883204813,0.9169269769200907,0.020356065848865623,4.51127452738435,0.10932325364100226,0.31686920472424407,0.014518895750147587,diffuse_tau_kc,,,,,
M4_108989_total_noirac_nou_poly3,M4_108989,cosmos_total,0.05,both,3,kriek_conroy,False,,3735,243290.55224641538,0.2761793752497434,1189500,358.6617615139112,3773.4331771107854,45.197698218451656,9,ch1 ch2 u,,-4.56,1.66,3.55,2.59,0.82,-0.42,-0.62,-0.76,-0.75,,,11.802174729494315,0.027063171253004725,-1.567501113690669,0.07176238448580241,-0.17034182671170223,0.012575095512950468,3.702246995688336,0.39847935108585597,0.9426030972373942,0.03414084757876068,4.260346805571802,0.09888364052902388,0.414419840487273,0.04599231263763856,diffuse_tau_kc,0.922472201595014,1.0939574366621412,-11.33218943134674,,
M4_108989_total_noirac_poly3,M4_108989,cosmos_total,0.05,both,3,kriek_conroy,False,,3735,243305.92965676013,0.35958778805046815,1176500,356.675841064658,3603.30395806233,66.9225384121823,10,ch1 ch2,-3.35,-3.24,2.47,4.6,3.33,1.3,-0.39,-0.69,-1.3,-1.69,,,11.800884336577742,0.020811928551476733,-1.4590903374390767,0.11476689690664499,-0.1701299714401789,0.01221535787062017,3.1669338514648615,0.4606817993386132,0.9912187624084832,0.058824618813473506,4.267943931299406,0.11079596053074026,0.4880599604422903,0.06938487779532815,diffuse_tau_kc,0.8999516401377874,1.111642866070827,-15.042173317665474,,
