parameter,A_bits,A_err,C_bits,C_err
zred,,,11.574,0.015
logmass,6.233,0.013,6.613,0.013
logsfr_ratios[0],6.886,0.018,5.839,0.020
Z,5.137,0.016,5.107,0.011
logsfr_ratios[4],7.747,0.016,5.021,0.029
diffuse_dust_index,5.595,0.020,4.981,0.015
log_f_calib,5.008,0.015,4.922,0.014
afe,4.719,0.015,4.327,0.012
diffuse_tau_kc,5.329,0.016,4.168,0.013
spectrum_scaling,3.227,0.015,3.259,0.014
logsfr_ratios[5],1.959,0.015,2.798,0.015
sigma_smooth,,,0.785,0.011
logsfr_ratios[6],0.499,0.012,0.735,0.016
logsfr_ratios[1],0.088,0.007,0.201,0.008
logsfr_ratios[3],0.043,0.005,0.142,0.006
logsfr_ratios[2],0.064,0.006,0.091,0.005
sum_of_marginals,52.533,,60.565,
total_joint,66.065,,77.113,
