band,wavelength,pull_median,pull_q16,pull_q84,chi2_mean,frac_abs_pull_gt2
u*,3813.2410394640983,-0.5919756173344426,-2.9145281195523434,0.7649927087747908,5.8458304700994095,0.2994652406417112
B,4427.21459053974,-1.6738399447825127,-4.640098023804766,0.10886723351544195,11.224328781185639,0.47593582887700536
V,5454.852171936471,1.5949986184514064,0.3193638271582855,2.7551061138563124,4.794188155372127,0.39572192513368987
r+,6248.964621623838,-0.08250669855319132,-1.6323728631050476,2.776833369862982,5.014280781257254,0.35294117647058826
i+,7645.870635187943,-1.9464881567651955,-2.975107598354725,1.6163969243557705,6.762936163476662,0.6042780748663101
z+,9010.843115428135,0.23241023672159744,-0.49062060967264387,2.496877058857448,3.513156723985936,0.20855614973262032
Y,10204.727844482526,-1.7603960848178517,-2.5330115634632846,-0.3740391257499459,3.835363044151526,0.4385026737967914
J,12504.93039359402,-1.0164709801221905,-1.8674645500025204,-0.4313863247185701,1.8672598355350836,0.11764705882352941
H,16388.52182332213,-0.9711126714961575,-2.578816525156786,0.2672233502677353,3.4019988521955957,0.25668449197860965
Ks,21452.790705542895,0.6650554433959387,-1.4887085695675648,2.1783814303561644,4.045322076045893,0.31016042780748665
3.6um,35378.51452136207,3.6455892541084003,1.0012907435034772,6.514560351033271,20.72805496482544,0.7433155080213903
4.5um,44780.54405369226,4.230247908701382,1.2821971274859438,6.53991534487753,23.739426451054292,0.7593582887700535
